# Presidentielle 2017, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur, fichier 'Presidentielle_2017_Resultats_Tour_1.xls', feuille 'Circo. Leg. Tour 1'
#   (resultats provisoires ~9h30 le 24/04/2017 ; agregat national ~ officiel a ~0.25 pt pres ; 566 circos).
# circo_id normalise au format AA-CC (departement zfill2, circonscription zfill2) pour jointure avec 2022.
# Partis EXPLICITES : LFI=Melenchon, PS=Hamon, LR=Fillon, RN=Le Pen, ENS=Macron, DLF=Dupont-Aignan,
#   RES=Lassalle, NPA=Poutou, LO=Arthaud, UPR=Asselineau, SP=Cheminade. Lire avec comment='#'.
circo_id,departement,exprimes,ENS,RN,LR,LFI,PS,DLF,RES,NPA,LO,UPR,SP
51-03,51,61643,19.28,29.33,22.58,14.74,4.3,6.02,0.87,1.02,0.75,0.91,0.19
51-04,51,60239,20.45,28.37,20.88,15.97,4.84,5.9,0.86,0.96,0.77,0.82,0.18
51-05,51,61349,17.02,35.2,22.91,11.83,3.12,6.48,0.86,0.92,0.76,0.7,0.18
52-01,52,55848,20.19,28.18,20.34,16.04,4.65,6.23,1.22,1.29,0.89,0.75,0.21
52-02,52,46592,15.38,39.25,17.66,13.78,3.64,6.31,0.95,1.09,0.92,0.84,0.17
53-01,53,58700,27.54,16.07,25.51,16.16,6.17,4.98,0.71,1.17,0.85,0.68,0.16
53-02,53,63301,26.1,15.92,28.99,14.32,5.52,5.51,0.84,1.2,0.74,0.68,0.17
53-03,53,58231,24.47,18.81,26.52,14.16,5.38,6.35,0.99,1.37,1.12,0.61,0.22
54-01,54,61763,26.1,16.97,19.84,20.8,8.16,4.62,0.73,1.07,0.58,0.93,0.2
54-02,54,53051,29.05,15.02,21.63,18.87,8.08,4.01,0.7,0.9,0.52,1.01,0.21
54-03,54,59494,20.43,26.41,12.85,26.48,5.23,4.44,0.78,1.43,0.88,0.9,0.18
54-04,54,76422,19.18,31.93,16.34,17.31,5.24,5.76,1.04,1.24,0.97,0.84,0.16
54-05,54,62415,19.58,31.31,16.46,16.57,5.73,6.15,0.95,1.2,0.85,0.96,0.23
54-06,54,66521,19.75,30.2,12.8,22.72,5.42,5.21,0.84,1.21,0.79,0.86,0.19
55-01,55,60814,19.22,32.43,17.55,14.95,4.71,6.58,1.26,1.38,0.81,0.89,0.21
55-02,55,46231,19.52,32.18,18.63,14.98,4.44,6.06,1.14,1.27,0.85,0.68,0.24
56-01,56,86871,31.3,12.92,25.98,15.14,7.36,4.19,0.82,0.97,0.48,0.66,0.19
56-02,56,85436,26.74,16.89,22.35,17.7,7.63,4.72,1.12,1.33,0.61,0.74,0.17
56-03,56,75273,27.05,21.26,19.06,16.57,6.27,5.35,1.16,1.57,0.83,0.68,0.2
56-04,56,86390,25.1,21.24,20.7,17.2,6.29,5.38,0.95,1.41,0.83,0.69,0.2
56-05,56,61851,30.04,14.84,18.77,19.77,9.21,3.83,0.83,1.17,0.66,0.7,0.17
56-06,56,73014,27.36,18.82,16.97,19.43,7.68,5.05,1.29,1.66,0.82,0.7,0.22
57-01,57,68093,23.03,25.95,16.26,20.55,5.94,4.49,0.73,1.08,0.8,1.02,0.16
57-02,57,57749,24.24,23.06,20.49,17.09,5.98,5.47,0.83,0.95,0.62,1.05,0.22
57-03,57,56357,25.14,22.79,19.07,17.72,6.52,5.1,0.83,1.1,0.59,0.94,0.2
57-04,57,63974,17.4,33.71,19.55,12.7,4.04,7.81,1.32,1.22,1.05,0.97,0.23
57-05,57,55673,18.59,32.7,18.28,13.56,4.12,7.09,1.85,1.45,1.07,1.06,0.24
57-06,57,49213,16.89,33.68,14.4,19.91,4.68,5.77,0.99,1.34,0.95,1.17,0.22
57-07,57,68111,18.08,33.6,15.54,16.95,4.76,6.41,1.04,1.35,1.03,1.03,0.21
57-08,57,64662,20.1,28.19,11.41,25.15,6.05,4.43,0.78,1.51,0.92,1.29,0.18
57-09,57,75394,24.92,22.9,19.4,17.23,5.27,5.87,1.0,1.22,0.87,1.1,0.23
58-01,58,56562,23.37,24.11,16.6,20.24,6.53,5.16,1.03,1.21,0.76,0.79,0.2
58-02,58,63852,22.14,25.34,17.83,18.22,6.51,5.52,1.22,1.35,0.9,0.8,0.19
59-01,59,44580,24.01,15.46,13.56,30.41,10.43,2.79,0.47,1.03,0.64,1.06,0.15
59-02,59,64829,23.88,18.01,13.48,28.68,8.99,3.52,0.54,0.98,0.63,1.11,0.17
59-03,59,67539,15.9,36.44,14.05,20.51,4.7,4.76,0.72,1.0,0.95,0.83,0.15
59-04,59,76916,26.61,17.73,23.73,18.11,6.41,4.53,0.58,0.82,0.57,0.72,0.2
59-05,59,78927,21.72,27.66,16.93,19.14,5.84,5.58,0.58,0.88,0.71,0.77,0.2
59-06,59,73139,24.29,22.67,23.77,15.81,5.2,5.48,0.66,0.68,0.62,0.67,0.15
59-07,59,54756,22.99,20.13,21.94,21.56,5.79,4.57,0.48,0.82,0.55,1.0,0.18
59-08,59,44326,20.41,24.98,10.91,29.6,6.71,3.52,0.49,1.02,0.79,1.4,0.17
59-09,59,68656,25.05,13.83,30.2,18.38,6.31,3.52,0.55,0.77,0.44,0.81,0.14
59-10,59,57748,19.8,26.87,18.08,21.41,5.25,5.07,0.65,1.02,0.71,1.0,0.15
59-11,59,68327,22.07,22.54,16.85,22.76,7.79,4.58,0.61,1.01,0.75,0.84,0.18
59-12,59,70655,15.9,36.02,15.44,19.45,4.12,5.61,0.75,0.92,0.95,0.67,0.16
59-13,59,65156,16.69,32.97,10.76,24.63,5.74,4.79,0.67,1.36,1.12,1.09,0.18
59-14,59,78277,18.25,32.62,17.61,16.98,4.53,6.09,0.91,1.18,0.92,0.72,0.2
59-15,59,76432,19.29,29.81,19.12,17.33,4.69,5.92,0.84,1.2,0.96,0.67,0.16
59-16,59,61849,14.94,37.06,9.29,26.09,4.85,4.26,0.6,1.02,1.05,0.67,0.18
59-17,59,55377,17.49,32.89,14.31,22.21,5.12,4.63,0.59,0.97,0.78,0.83,0.19
59-18,59,69004,16.99,35.63,16.9,16.52,4.12,6.24,0.64,0.94,1.02,0.81,0.19
59-19,59,59244,14.74,39.36,9.67,23.76,4.95,4.19,0.51,0.92,0.99,0.78,0.15
59-20,59,57718,15.77,37.59,11.3,22.5,4.4,4.88,0.55,1.03,1.02,0.77,0.19
59-21,59,60348,19.0,30.34,16.57,21.25,4.59,4.8,0.6,0.87,0.83,0.97,0.18
60-01,60,64485,19.01,34.69,15.86,16.37,4.58,5.37,0.79,1.28,1.03,0.84,0.18
60-02,60,70238,17.98,35.01,17.48,15.47,4.19,5.95,0.83,1.11,0.97,0.8,0.2
60-03,60,55816,18.77,29.58,13.21,23.31,5.42,5.28,0.72,1.11,0.82,1.59,0.19
60-04,60,73480,22.13,25.05,25.22,14.56,4.39,5.28,0.83,0.78,0.5,1.09,0.17
60-05,60,56309,20.96,29.97,17.07,17.65,4.95,5.48,0.8,1.08,0.81,1.05,0.17
60-06,60,58826,20.07,30.6,18.52,17.36,4.37,5.27,0.74,1.06,0.92,0.9,0.2
60-07,60,58639,19.52,31.43,13.41,20.68,5.16,5.59,0.72,1.13,0.87,1.27,0.23
61-01,61,55412,23.11,21.63,25.03,15.01,5.73,5.58,0.91,1.31,0.86,0.62,0.2
61-02,61,53686,18.67,26.9,27.23,13.17,4.26,5.83,0.91,1.2,0.84,0.78,0.21
61-03,61,56959,22.8,23.0,22.11,16.07,5.61,6.01,0.86,1.37,1.02,0.93,0.22
62-01,62,84541,17.95,35.12,18.35,14.91,4.22,5.68,0.81,1.08,1.0,0.7,0.17
62-02,62,67509,24.02,24.15,17.9,18.74,6.39,5.14,0.79,1.05,0.91,0.74,0.18
62-03,62,61016,14.2,39.94,7.69,25.04,5.59,3.76,0.52,1.11,1.17,0.82,0.17
62-04,62,69860,23.44,27.2,22.16,14.3,4.12,5.34,0.72,1.06,0.95,0.56,0.14
62-05,62,67658,21.06,28.9,15.31,20.81,5.77,4.61,0.71,1.11,1.01,0.53,0.19
62-06,62,74176,18.37,33.19,17.85,16.04,4.87,6.13,0.83,1.01,0.98,0.53,0.2
62-07,62,68658,17.17,35.88,13.37,19.98,4.8,5.26,0.69,1.02,0.92,0.74,0.17
62-08,62,71595,20.06,32.93,14.17,18.81,5.03,5.06,0.79,1.08,1.32,0.56,0.18
62-09,62,61663,19.56,31.76,16.38,18.3,5.04,5.53,0.74,0.95,0.93,0.64,0.17
62-10,62,66278,15.26,39.78,9.91,21.23,5.67,4.37,0.61,1.2,1.18,0.61,0.17
62-11,62,69354,14.55,41.17,8.22,23.13,5.31,4.01,0.56,1.1,0.96,0.87,0.13
62-12,62,70844,15.47,42.19,8.49,20.15,5.56,4.43,0.57,1.2,1.17,0.62,0.15
63-01,63,61686,29.37,15.46,14.33,24.25,8.58,3.74,1.28,1.18,0.66,0.94,0.21
63-02,63,68879,25.42,19.78,15.9,21.46,7.03,4.85,2.2,1.5,0.85,0.8,0.2
63-03,63,69586,30.04,12.66,21.53,19.47,7.7,3.94,2.03,1.11,0.59,0.68,0.24
63-04,63,77257,27.56,17.16,14.96,23.31,7.27,4.56,1.98,1.41,0.77,0.78,0.23
63-05,63,79169,23.96,22.48,15.29,21.62,5.94,4.71,2.65,1.39,0.88,0.9,0.18
64-01,64,53537,29.58,14.06,16.86,20.62,8.44,3.95,4.12,1.08,0.37,0.78,0.13
64-02,64,64376,29.5,15.51,16.88,18.84,7.38,4.13,5.51,1.04,0.38,0.7,0.13
64-03,64,65718,25.49,16.68,13.88,20.82,8.28,4.04,8.2,1.28,0.51,0.7,0.11
64-04,64,63889,22.34,11.79,15.59,19.61,7.28,3.38,16.11,2.58,0.61,0.57,0.14
64-05,64,70953,26.33,13.41,19.85,21.0,8.03,3.63,4.95,1.43,0.38,0.87,0.12
64-06,64,77180,25.17,11.47,24.36,18.81,7.16,3.32,6.39,2.1,0.47,0.62,0.13
65-01,65,68546,25.79,17.91,13.34,23.83,7.57,4.12,4.85,1.19,0.54,0.71,0.13
65-02,65,70995,24.4,19.23,15.61,22.2,6.67,4.28,5.08,1.07,0.56,0.75,0.15
66-01,66,53092,19.55,27.9,18.36,21.43,5.17,3.65,1.35,1.0,0.51,0.88,0.19
66-02,66,74794,17.32,34.2,17.28,19.24,4.07,3.71,1.63,1.06,0.54,0.78,0.17
66-03,66,63416,18.52,27.55,16.77,22.75,5.95,3.56,1.97,1.32,0.54,0.9,0.17
66-04,66,75485,18.77,29.55,16.64,21.46,5.15,3.67,1.91,1.18,0.6,0.9,0.16
67-01,67,47239,28.64,9.74,21.38,24.82,9.8,2.32,0.61,0.91,0.39,1.26,0.13
67-02,67,52813,26.54,15.69,18.34,22.84,8.92,3.77,0.85,0.98,0.59,1.29,0.2
67-03,67,51700,25.39,16.84,20.25,21.82,7.45,4.35,0.8,0.93,0.57,1.42,0.17
67-04,67,75783,25.17,21.37,25.46,13.33,5.05,6.22,0.9,0.79,0.55,0.99,0.17
67-05,67,81547,20.64,28.18,21.1,13.25,4.37,7.65,1.23,1.27,0.96,1.13,0.21
67-06,67,75514,20.85,27.4,22.59,12.75,4.45,7.39,1.3,1.12,0.86,1.02,0.26
67-07,67,67470,18.63,31.86,21.26,11.2,3.66,8.29,1.4,1.21,1.11,1.15,0.21
67-08,67,73535,18.27,32.93,21.96,9.73,3.37,8.63,1.2,1.42,1.2,1.07,0.21
67-09,67,72185,20.68,28.3,23.8,11.17,4.23,7.54,1.07,1.08,0.77,1.14,0.22
68-01,68,57972,21.84,25.91,21.9,14.07,5.08,6.4,1.16,1.16,0.82,1.4,0.26
68-02,68,72782,20.15,26.41,22.35,13.95,4.63,7.46,1.57,1.23,0.82,1.17,0.24
68-03,68,67045,17.98,26.99,27.18,11.47,3.62,8.26,1.27,1.08,0.72,1.14,0.27
68-04,68,80093,17.61,32.36,18.77,14.28,4.16,7.84,1.23,1.35,0.87,1.28,0.24
68-05,68,56934,22.85,20.96,24.33,16.21,5.85,5.58,1.06,0.95,0.61,1.38,0.23
68-06,68,69084,19.24,28.26,20.5,16.2,4.76,6.4,1.07,1.18,0.72,1.41,0.27
69-01,69,53964,29.82,11.47,20.06,23.55,8.61,3.25,0.72,0.87,0.44,1.02,0.2
69-02,69,59652,29.55,6.9,23.28,25.8,9.87,2.03,0.54,0.81,0.32,0.76,0.14
69-03,69,56940,30.32,9.01,20.06,24.71,10.16,2.71,0.61,0.84,0.39,1.02,0.18
69-04,69,63967,31.42,8.36,29.13,17.93,7.97,2.64,0.58,0.64,0.3,0.86,0.16
69-05,69,68807,28.35,13.23,32.31,14.28,5.52,3.81,0.63,0.6,0.31,0.84,0.12
69-06,69,59629,27.73,13.1,16.59,26.48,9.15,3.44,0.62,0.92,0.58,1.2,0.17
69-07,69,46467,24.25,17.42,16.82,26.56,7.5,3.73,0.64,0.96,0.53,1.42,0.17
69-08,69,81005,23.95,20.14,27.3,14.48,4.85,5.95,0.95,0.77,0.52,0.92,0.17
69-09,69,71693,22.59,24.04,24.34,14.66,5.03,5.85,1.0,0.9,0.45,0.99,0.15
69-10,69,76898,26.33,17.67,27.0,14.25,5.3,6.36,0.91,0.7,0.4,0.92,0.17
69-11,69,72321,24.37,23.4,19.5,18.56,5.15,5.53,0.97,0.83,0.52,1.01,0.16
69-12,69,62586,28.18,13.88,27.25,17.1,6.31,4.28,0.74,0.69,0.5,0.91,0.15
69-13,69,64640,24.31,23.84,20.96,17.32,5.1,5.18,0.73,0.77,0.4,1.21,0.16
69-14,69,49915,21.9,21.1,11.83,30.07,6.75,3.79,0.73,1.11,0.84,1.69,0.18
70-01,70,69507,20.28,29.76,19.65,15.15,4.54,6.25,1.05,1.39,0.88,0.84,0.2
70-02,70,70015,18.9,32.94,16.46,16.59,4.91,5.47,1.12,1.51,1.02,0.89,0.18
71-01,71,56131,24.18,20.41,21.33,17.54,6.7,6.16,1.02,0.99,0.56,0.94,0.18
71-02,71,60953,21.93,23.39,21.2,17.04,5.22,7.2,1.23,1.11,0.8,0.71,0.18
71-03,71,63203,22.54,25.45,19.41,16.81,6.34,5.69,0.94,1.2,0.7,0.75,0.16
71-04,71,62873,20.22,28.1,17.78,17.59,5.65,6.62,1.04,1.22,0.76,0.85,0.16
71-05,71,66789,22.93,23.64,17.6,19.97,7.01,5.02,0.87,1.24,0.72,0.84,0.15
72-01,72,57959,21.93,17.61,30.14,17.19,5.99,4.02,0.63,1.05,0.63,0.62,0.18
72-02,72,63540,21.12,21.07,24.17,20.25,6.11,3.97,0.59,1.1,0.73,0.7,0.18
72-03,72,68274,17.7,24.03,28.35,16.87,4.71,4.55,0.79,1.2,0.97,0.65,0.17
72-04,72,63919,18.91,19.55,31.43,18.13,4.81,3.99,0.63,1.1,0.7,0.59,0.17
72-05,72,68750,20.82,21.21,29.08,15.86,5.16,4.57,0.67,1.06,0.76,0.65,0.15
73-01,73,68743,23.78,22.25,22.4,16.64,5.17,5.93,1.3,0.94,0.46,0.98,0.16
73-02,73,57951,20.64,22.04,24.12,18.1,4.56,6.1,1.45,1.22,0.5,1.09,0.19
73-03,73,56997,23.04,24.41,18.81,18.22,5.56,5.74,1.29,1.13,0.59,1.02,0.19
73-04,73,57868,24.94,18.09,18.52,21.94,7.58,4.82,1.19,1.01,0.48,1.26,0.17
74-01,74,80486,26.86,17.64,25.27,14.96,5.34,6.19,1.08,0.93,0.44,1.08,0.21
74-02,74,74987,26.41,16.24,25.25,16.53,5.9,5.79,1.13,0.91,0.42,1.24,0.18
74-03,74,64127,21.85,22.18,22.79,16.88,5.32,6.88,1.14,1.14,0.49,1.1,0.22
74-04,74,62569,24.25,18.67,24.82,17.02,5.53,5.36,0.98,1.1,0.47,1.57,0.23
74-05,74,72304,22.85,19.21,26.41,16.43,5.04,5.82,1.11,1.06,0.55,1.32,0.18
74-06,74,59014,22.1,19.91,28.02,15.73,4.34,5.91,1.34,1.09,0.41,0.97,0.18
75-01,75,68817,39.19,3.87,34.4,12.04,7.59,1.21,0.46,0.38,0.15,0.61,0.1
75-02,75,61756,36.96,3.82,37.34,11.5,7.28,1.31,0.54,0.42,0.16,0.57,0.11
75-03,75,56413,36.86,5.29,23.02,20.21,10.3,1.88,0.49,0.68,0.27,0.83,0.16
75-04,75,59167,28.71,4.15,54.41,6.68,3.54,1.3,0.39,0.19,0.09,0.45,0.09
75-05,75,63251,39.85,3.84,16.95,22.88,13.13,1.2,0.45,0.64,0.27,0.68,0.11
75-06,75,62752,34.22,4.56,13.72,28.95,14.56,1.42,0.47,0.88,0.34,0.76,0.13
75-07,75,64174,40.44,4.14,19.23,20.62,11.96,1.43,0.5,0.65,0.25,0.66,0.12
75-08,75,67551,34.89,6.23,21.24,21.35,11.29,2.36,0.61,0.69,0.32,0.83,0.18
75-09,75,55593,34.33,6.66,17.26,24.64,11.76,2.18,0.62,0.92,0.4,1.03,0.2
75-10,75,54704,34.54,6.67,18.57,23.25,11.79,2.27,0.6,0.74,0.37,1.03,0.17
75-11,75,60477,38.8,4.14,26.7,16.15,10.48,1.52,0.5,0.58,0.26,0.73,0.15
75-12,75,63007,35.76,4.51,38.51,10.94,6.68,1.71,0.53,0.38,0.18,0.67,0.12
75-13,75,62648,35.71,5.85,31.15,14.44,8.24,2.27,0.58,0.55,0.24,0.85,0.13
75-14,75,61400,27.27,4.16,57.0,5.8,3.18,1.43,0.32,0.19,0.09,0.48,0.08
75-15,75,60490,30.95,6.17,13.49,30.61,13.65,1.99,0.56,1.01,0.4,1.01,0.17
75-16,75,54968,29.92,5.71,16.12,30.52,13.21,1.65,0.52,0.84,0.45,0.93,0.13
75-17,75,43895,28.19,6.11,13.59,34.16,13.04,1.61,0.51,1.04,0.41,1.18,0.16
75-18,75,55494,37.12,4.73,16.51,24.42,13.13,1.43,0.56,0.8,0.28,0.84,0.19
76-01,76,49980,27.88,11.99,21.65,23.55,8.9,3.08,0.54,1.0,0.43,0.83,0.16
76-02,76,76823,24.95,21.3,23.02,16.8,5.68,5.23,0.62,0.93,0.54,0.76,0.18
76-03,76,52262,21.45,20.96,10.02,31.35,8.58,3.64,0.51,1.5,0.82,0.97,0.19
76-04,76,66981,20.86,26.01,10.93,25.85,7.93,4.3,0.59,1.48,0.87,1.0,0.17
76-05,76,76215,21.2,27.86,15.15,20.5,6.12,5.27,0.67,1.39,0.89,0.74,0.22
76-06,76,85855,18.37,31.33,18.99,18.4,4.14,5.19,0.72,1.13,0.95,0.59,0.19
76-07,76,66836,23.58,19.33,19.92,23.78,5.84,4.48,0.68,0.99,0.54,0.68,0.18
76-08,76,47319,17.81,23.76,10.54,34.9,5.79,3.8,0.49,1.16,0.69,0.86,0.19
76-09,76,75688,18.6,28.59,17.39,20.66,5.03,5.87,0.74,1.34,0.93,0.68,0.18
76-10,76,88567,19.52,29.67,20.27,16.44,4.78,5.63,0.68,1.22,0.94,0.65,0.2
77-01,77,52331,24.07,19.79,20.61,20.39,5.56,5.95,0.76,0.95,0.56,1.18,0.18
77-02,77,62569,23.48,21.15,23.41,17.07,5.62,5.72,0.79,0.93,0.57,1.06,0.2
77-03,77,59060,20.39,25.86,16.9,20.98,5.9,6.38,0.75,0.94,0.54,1.19,0.17
77-04,77,68757,17.29,32.69,18.59,17.06,4.3,6.42,0.88,0.99,0.63,0.95,0.19
77-05,77,66449,21.48,26.35,18.76,18.46,4.71,6.54,0.85,0.89,0.55,1.21,0.2
77-06,77,60220,20.76,27.54,15.61,21.06,5.22,6.18,0.77,0.97,0.59,1.15,0.16
77-07,77,66680,22.23,24.34,16.76,22.13,5.22,5.78,0.68,0.85,0.54,1.3,0.18
77-08,77,69686,28.37,16.54,18.57,21.16,6.5,5.44,0.74,0.89,0.45,1.14,0.19
77-09,77,65859,24.7,21.11,17.87,19.86,5.65,7.36,0.71,0.86,0.53,1.16,0.19
77-10,77,60146,26.88,15.86,15.19,26.11,7.38,4.65,0.73,0.95,0.52,1.55,0.18
77-11,77,49136,25.14,18.25,12.14,26.81,7.07,6.7,0.69,1.08,0.5,1.44,0.16
78-01,78,68223,29.98,8.95,32.6,14.53,7.82,3.45,0.63,0.58,0.27,1.02,0.17
78-02,78,71281,32.29,10.59,29.98,13.66,6.49,4.25,0.77,0.57,0.29,0.91,0.2
78-03,78,67969,29.47,9.06,39.03,11.32,5.5,3.37,0.61,0.54,0.26,0.7,0.14
78-04,78,64276,33.73,9.31,30.34,13.85,6.47,3.79,0.63,0.55,0.28,0.89,0.15
78-05,78,58422,31.71,9.83,30.99,15.31,6.12,3.4,0.58,0.64,0.31,0.93,0.17
78-06,78,59076,30.88,10.49,31.21,15.21,5.79,3.56,0.67,0.67,0.32,1.01,0.18
78-07,78,63075,28.45,15.62,21.66,18.65,7.22,4.94,0.84,0.87,0.49,1.11,0.17
78-08,78,54355,21.83,21.78,14.54,26.35,6.46,4.81,0.75,1.08,0.62,1.58,0.21
78-09,78,71798,23.48,21.05,21.38,18.83,5.86,5.67,0.78,0.88,0.59,1.29,0.19
78-10,78,73434,27.89,14.06,27.07,15.64,6.89,5.3,0.81,0.7,0.38,1.06,0.2
78-11,78,51870,26.59,12.09,18.98,21.74,12.77,4.44,0.7,0.8,0.38,1.32,0.18
78-12,78,55147,29.32,12.5,25.41,17.78,6.81,4.9,0.7,0.83,0.39,1.18,0.18
79-01,79,70522,30.3,13.98,17.09,21.37,8.48,4.62,1.11,1.42,0.72,0.74,0.17
79-02,79,76832,25.29,19.83,17.01,20.45,7.11,5.27,1.38,1.74,1.02,0.7,0.2
79-03,79,67044,25.4,20.2,22.48,16.15,5.22,6.03,1.14,1.71,0.86,0.63,0.18
80-01,80,63203,22.92,28.81,13.49,21.68,5.19,4.21,0.69,1.16,0.96,0.74,0.16
80-02,80,58532,29.0,18.88,17.56,20.88,6.14,4.15,0.62,1.0,0.72,0.87,0.19
80-03,80,66823,18.95,33.33,17.7,17.29,3.64,5.33,0.85,1.1,1.06,0.53,0.21
80-04,80,67490,20.83,32.94,16.52,16.33,4.0,5.49,0.77,1.16,1.0,0.74,0.21
80-05,80,63588,17.83,36.67,15.82,17.29,3.55,4.88,0.75,1.29,1.1,0.69,0.14
81-01,81,66902,22.96,21.8,19.38,18.68,6.48,4.91,3.32,1.04,0.54,0.7,0.19
81-02,81,84966,22.09,21.8,15.27,22.98,7.47,4.78,2.75,1.24,0.64,0.79,0.19
81-03,81,81889,21.52,23.57,18.46,19.63,5.92,5.0,3.11,1.18,0.59,0.83,0.19
82-01,82,72053,21.53,24.24,18.94,19.32,6.25,4.78,2.33,1.0,0.53,0.9,0.18
82-02,82,74748,19.81,29.06,16.51,18.62,5.44,5.07,2.65,1.14,0.6,0.92,0.18
83-01,83,54273,19.59,25.45,26.05,16.84,4.29,4.25,1.12,0.76,0.38,1.1,0.18
83-02,83,68589,18.39,31.31,20.68,17.26,3.76,5.12,1.28,0.77,0.41,0.86,0.16
83-03,83,79055,19.03,27.74,26.45,14.99,3.71,4.71,1.21,0.71,0.35,0.94,0.16
83-04,83,82237,15.74,31.33,29.17,13.01,2.74,4.63,1.1,0.76,0.36,0.98,0.17
83-05,83,74586,17.02,30.93,29.82,11.89,2.73,4.72,0.83,0.62,0.34,0.98,0.13
83-06,83,93049,17.36,33.27,20.64,16.57,3.57,5.16,1.26,0.77,0.36,0.89,0.15
83-07,83,78570,18.48,28.57,25.76,16.29,3.37,4.44,1.03,0.69,0.37,0.82,0.17
83-08,83,82079,17.04,32.8,21.21,16.54,3.63,4.9,1.19,0.98,0.42,1.13,0.16
84-01,84,53952,20.28,24.34,16.45,26.01,5.78,3.48,0.99,0.9,0.44,1.12,0.21
84-02,84,65997,19.09,30.13,20.18,18.03,4.31,4.79,1.33,0.8,0.39,0.78,0.16
84-03,84,59574,16.21,35.36,18.33,18.02,3.63,4.92,1.22,0.83,0.48,0.83,0.17
84-04,84,70021,17.22,33.76,19.48,17.04,3.48,5.05,1.45,0.93,0.48,0.91,0.18
84-05,84,64501,19.98,28.24,19.83,18.99,4.61,4.51,1.29,0.99,0.43,0.98,0.15
85-01,85,89684,27.62,17.93,23.46,15.88,5.6,5.73,0.84,1.31,0.79,0.65,0.19
85-02,85,84310,26.92,18.59,23.25,16.24,5.64,5.61,0.94,1.23,0.75,0.67,0.17
85-03,85,97606,24.31,20.01,28.48,13.77,4.35,5.74,0.9,0.98,0.66,0.68,0.13
85-04,85,81852,27.86,15.16,27.92,14.16,4.77,6.1,0.86,1.44,0.93,0.6,0.2
85-05,85,65377,24.47,21.25,23.74,15.59,5.23,5.73,1.05,1.34,0.84,0.61,0.15
86-01,86,61953,27.31,16.77,16.1,22.49,8.21,4.61,1.17,1.53,0.79,0.81,0.21
86-02,86,61462,28.48,13.47,18.26,22.4,8.65,4.68,1.06,1.37,0.68,0.74,0.2
86-03,86,57780,22.55,22.71,19.14,18.76,5.95,5.49,1.45,1.75,1.11,0.84,0.25
86-04,86,56553,20.67,26.94,18.48,18.6,5.34,5.33,1.14,1.48,0.94,0.81,0.28
87-01,87,65978,27.12,17.69,14.59,23.35,8.31,4.18,1.57,1.41,0.85,0.71,0.21
87-02,87,77529,26.0,18.43,16.72,22.12,7.08,4.59,1.78,1.46,0.9,0.72,0.2
87-03,87,64907,27.0,18.45,15.3,21.56,7.96,4.58,1.7,1.51,0.91,0.81,0.22
88-01,88,59116,21.28,26.97,18.65,17.37,5.52,5.95,1.08,1.27,0.79,0.95,0.18
88-02,88,56208,18.81,33.1,16.09,16.34,4.9,5.97,1.14,1.43,0.94,1.11,0.18
88-03,88,51719,20.23,26.22,19.26,16.72,4.87,7.09,1.54,1.7,0.99,1.13,0.25
88-04,88,52459,19.03,30.14,18.21,16.05,4.49,7.22,1.28,1.53,0.95,0.87,0.23
89-01,89,59559,21.74,24.97,20.84,16.41,5.45,6.34,1.24,1.07,0.68,1.06,0.2
89-02,89,57865,19.43,29.22,19.07,17.17,4.57,6.36,1.1,1.25,0.82,0.82,0.18
89-03,89,67129,17.93,31.08,19.8,16.54,4.41,6.27,0.92,1.14,0.75,1.0,0.17
90-01,90,35857,20.14,28.37,18.26,17.91,5.54,5.5,0.91,1.18,0.71,1.27,0.23
90-02,90,35717,21.14,25.42,17.14,20.3,6.17,5.04,0.96,1.29,0.94,1.36,0.24
91-01,91,51130,25.24,15.96,12.57,29.69,7.26,4.95,0.72,1.23,0.64,1.54,0.2
91-02,91,72144,21.88,24.36,19.1,19.03,5.02,7.0,0.81,0.93,0.56,1.12,0.2
91-03,91,77184,24.73,19.69,18.54,20.46,6.55,6.45,0.85,0.94,0.48,1.1,0.2
91-04,91,78789,27.89,16.98,20.37,18.27,6.48,6.54,0.8,0.91,0.43,1.13,0.19
91-05,91,56010,34.3,7.92,24.07,19.05,8.0,3.71,0.71,0.69,0.33,0.99,0.23
91-06,91,64391,29.91,12.78,17.92,22.74,8.41,4.78,0.68,0.83,0.43,1.28,0.23
91-07,91,55996,25.24,17.24,17.17,23.4,7.16,6.04,0.79,0.91,0.5,1.37,0.18
91-08,91,60107,23.89,12.96,14.98,20.62,6.15,18.67,0.44,0.74,0.32,1.09,0.15
91-09,91,61827,25.06,16.65,18.49,22.16,6.38,7.88,0.61,0.89,0.46,1.22,0.2
91-10,91,45904,24.34,16.89,14.88,27.85,6.6,5.34,0.68,1.29,0.58,1.35,0.22
92-01,92,44933,23.68,11.52,11.32,38.43,8.21,2.41,0.59,1.02,0.55,2.11,0.17
92-02,92,55117,34.02,6.89,27.2,18.79,7.96,2.39,0.59,0.66,0.33,1.02,0.17
92-03,92,65562,34.74,7.28,31.89,14.07,6.63,2.93,0.55,0.53,0.23,0.99,0.16
92-04,92,59664,30.24,9.55,19.68,26.48,7.74,2.85,0.59,0.82,0.39,1.45,0.2
