as_of_date,open_interest,nc_long,nc_short
2024-05-14,  256748,   68568,   64269
2024-05-21,  258244,   68390,   62493
2024-05-28,  265906,   68455,   70512
2024-06-04,  254627,   60959,   58991
2024-06-11,  267660,   61336,   67264
2024-06-18,  345118,   66122,   67610
2024-06-25,  252655,   69542,   61187
2024-07-02,  265554,   71783,   58499
2024-07-09,  271471,   67705,   60099
2024-07-16,  264434,   65921,   59747
2024-07-23,  252187,   53388,   54846
2024-07-30,  266789,   49794,   48827
2024-08-06,  257764,   50648,   37350
2024-08-13,  252979,   48230,   38686
2024-08-20,  253133,   54107,   42604
2024-08-27,  253674,   63961,   42785
2024-09-03,  263973,   67374,   40514
2024-09-10,  269479,   68433,   41001
2024-09-17,  278372,   65981,   45380
2024-09-24,  232823,   51747,   37005
2024-10-01,  239651,   56071,   41463
2024-10-08,  257025,   56872,   44725
2024-10-15,  249104,   46829,   47384
2024-10-22,  254792,   49104,   47732
2024-10-29,  267750,   56266,   51971
2024-11-05,  263529,   61284,   45850
2024-11-12,  288619,   68657,   51908
2024-11-19,  287341,   61892,   43812
2024-11-26,  289033,   68024,   49586
2024-12-03,  307679,   82241,   52777
2024-12-10,  306813,   84419,   48915
2024-12-17,  340251,   85940,   50256
2024-12-24,  251693,   78928,   50836
2024-12-31,  258092,   73675,   50005
2025-01-07,  247811,   70285,   52119
2025-01-14,  261461,   62016,   52315
2025-01-21,  263439,   69166,   50343
2025-01-28,  279517,   81725,   49885
2025-02-04,  271345,   70683,   50690
2025-02-11,  276366,   68694,   53824
2025-02-18,  303715,   82935,   71129
2025-02-25,  301391,   77286,   53870
2025-03-04,  304391,   73119,   54189
2025-03-11,  319420,   73775,   55056
2025-03-18,  320476,   66391,   47613
2025-03-25,  231229,   61737,   52096
2025-04-01,  257117,   67567,   53417
2025-04-08,  266758,   67502,   48219
2025-04-15,  249669,   62942,   39845
2025-04-22,  257271,   66624,   38766
2025-04-29,  265803,   65524,   47148
2025-05-06,  280451,   72355,   53865
2025-05-13,  307490,   72026,   66945
2025-05-20,  301110,   69089,   68455
2025-05-27,  295593,   72608,   67349
2025-06-03,  298126,   70925,   64958
2025-06-10,  298671,   71327,   62215
2025-06-17,  334937,   70973,   63595
2025-06-24,  259948,   77302,   58942
2025-07-01,  274168,   78932,   48452
2025-07-08,  279888,   82108,   46895
2025-07-15,  281893,   86207,   47050
2025-07-22,  281535,   76558,   42336
2025-07-29,  293645,   84598,   45850
2025-08-05,  290285,   84550,   47579
2025-08-12,  316811,   96001,   48894
2025-08-19,  304458,   84077,   46416
2025-08-26,  298322,   86537,   46943
2025-09-02,  296057,   76185,   57959
2025-09-09,  310398,   85105,   57228
2025-09-16,  365891,   86981,   66028
2025-09-23,  281162,   91435,   67416
2025-09-30,  285789,   89804,   48330
2025-10-07,  294285,   92532,   48848
2025-10-14,  290000,   88256,   37957
2025-10-21,  300347,   99017,   49784
2025-10-28,  310555,   97668,   53992
2025-11-04,  304760,   90161,   43005
2025-11-10,  309882,   95865,   46909
2025-11-18,  315545,   89709,   47289
2025-11-25,  315399,   93647,   41882
2025-12-02,  328582,   94669,   53116
2025-12-09,  347119,   95484,   54963
2025-12-16,  403867,   99300,   61228
2025-12-23,  274369,   93583,   60008
2025-12-30,  286451,   96752,   69084
2026-01-06,  284377,   97977,   62376
2026-01-13,  287403,   97965,   66984
2026-01-20,  275966,   86136,   66161
2026-01-27,  269849,   91028,   62148
2026-02-03,  279784,   81685,   69617
2026-02-10,  274666,   78889,   66247
2026-02-17,  287390,   85591,   63439
2026-02-24,  285165,   76599,   68043
2026-03-03,  290391,   71879,   74482
2026-03-10,  275311,   72084,   50355
2026-03-17,  318004,   72274,   51333
2026-03-24,  244680,   67592,   63489
2026-03-31,  256358,   76502,   57031
2026-04-07,  258663,   70032,   60117
2026-04-14,  276532,   69365,   59721
2026-04-21,  290216,   68265,   61653
2026-04-28,  302430,   66824,   72797
2026-05-05,  315421,   68393,   70225
2026-05-12,  316227,   59162,   81061
2026-05-19,  320044,   71907,   79306
2026-05-26,  330617,   69237,   80519
2026-06-02,  345837,   68549,   90634
2026-06-09,  334790,   70466,   81447
2026-06-16,  375254,   71329,   92195
2026-06-23,  276807,   59333,   75605
2026-06-30,  296634,   59160,   77403
2026-07-07,  303152,   65583,   74324
2026-07-14,  307355,   61576,   71889
2026-07-21,  311523,   59542,   69233
2026-07-28,  319776,   67927,   77841
