# Presidentielle 2012, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 2012 - Resultats'
#   (dataset contenant regions/departements/circonscriptions legislatives/cantons), feuille 'Circo leg T1'.
#   URL dataset: https://www.data.gouv.fr/datasets/election-presidentielle-2012-resultats-572124/
#   URL fichier xls: https://static.data.gouv.fr/ff/e9c9483d39e00030815089aca1e2939f9cb99a84b0136e43056790e47bb4f0.xls
# DONNEES REELLES (pas de fabrication). 577 circonscriptions.
# NOTE : en 2012, Melenchon (LFI ici) etait candidat du Front de Gauche (incluant le PCF) ; nuance
#   utilisee = LFI pour continuite de lignee avec 2017/2022, mais le perimetre du candidat differe
#   (FG 2012 != LFI seul en 2017/2022).
# Agregat national reconstitue (pondere par exprimes) vs officiel (1er tour 2012) :
#   PS 28.63 (off. 28.63) | LR 27.18 (off. 27.18) | RN 17.90 (off. 17.90) |
#   LFI 11.10 (off. 11.10) | MDM 9.13 (off. 9.13) | EELV 2.31 (off. 2.31) |
#   DLF 1.79 (off. 1.79) | NPA 1.15 (off. 1.15) | LO 0.56 (off. 0.56) |
#   SP 0.25 (off. 0.25)
# circo_id normalise au format AA-CC (departement zfill2 si numerique, sinon 2A/2B/ZA.. tel quel ;
#   circonscription zfill2) pour jointure avec fr_pres2017_circo.csv / fr_pres2022_circo.csv.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,PS,LR,RN,LFI,MDM,EELV,DLF,NPA,LO,SP
45-06,45,56126,27.59,28.66,18.26,9.69,9.8,2.35,1.94,0.95,0.52,0.25
46-01,46,58968,33.41,21.47,14.47,14.74,8.97,2.85,1.88,1.43,0.53,0.25
46-02,46,55102,35.7,21.39,12.42,13.99,9.73,2.48,2.0,1.46,0.56,0.27
47-01,47,71095,27.25,25.36,21.07,11.47,9.11,2.04,1.76,1.28,0.44,0.2
47-02,47,63272,25.86,25.45,22.19,12.13,8.68,1.74,1.75,1.39,0.56,0.24
47-03,47,62165,27.6,25.15,21.0,11.48,8.72,1.97,1.86,1.46,0.49,0.27
48-01,48,50006,25.15,27.77,17.3,12.41,11.01,2.61,1.69,1.29,0.53,0.24
49-01,49,65695,29.48,29.97,11.77,10.0,12.11,2.81,1.86,1.2,0.53,0.27
49-02,49,71938,30.44,27.25,12.13,10.5,12.55,2.7,2.03,1.35,0.76,0.28
49-03,49,56554,24.31,29.77,18.75,9.66,10.61,1.89,2.52,1.41,0.81,0.26
49-04,49,60346,23.2,32.3,16.95,8.61,11.88,2.07,2.46,1.56,0.73,0.24
49-05,49,61470,28.55,30.37,12.16,8.16,14.11,1.96,2.15,1.5,0.79,0.25
49-06,49,77333,25.49,30.13,13.38,9.09,14.53,2.48,2.36,1.41,0.88,0.25
49-07,49,62437,27.64,30.16,13.03,9.24,13.03,2.43,2.16,1.32,0.74,0.25
50-01,50,70691,26.79,29.35,17.15,8.76,11.5,1.76,2.29,1.41,0.75,0.23
50-02,50,77591,23.34,32.56,15.8,8.61,12.99,1.91,2.43,1.35,0.72,0.28
50-03,50,86990,25.39,29.25,17.96,9.84,11.08,1.91,2.25,1.34,0.69,0.31
50-04,50,70857,33.36,23.68,15.41,12.32,9.07,1.71,2.08,1.31,0.73,0.32
51-01,51,52508,26.83,28.81,19.45,9.37,9.7,1.8,1.88,1.27,0.65,0.24
51-02,51,55969,26.37,31.13,18.37,8.68,9.99,1.8,1.73,1.11,0.59,0.24
51-03,51,63029,23.12,29.75,22.99,9.17,9.15,1.52,2.16,1.25,0.68,0.21
51-04,51,62404,24.49,28.65,22.92,8.7,9.65,1.46,2.05,1.23,0.57,0.28
51-05,51,63077,20.18,30.95,27.5,6.83,9.1,1.05,2.28,1.09,0.78,0.22
52-01,52,59111,24.8,28.66,22.1,9.17,8.87,1.61,2.41,1.38,0.78,0.22
52-02,52,50242,22.52,27.2,28.98,8.56,6.9,1.1,2.41,1.27,0.79,0.27
53-01,53,59188,28.82,28.07,14.31,9.0,13.52,2.24,1.91,1.19,0.72,0.22
53-02,53,63461,24.68,32.43,14.1,7.93,14.33,2.08,2.18,1.31,0.75,0.21
53-03,53,59622,24.2,31.44,15.96,8.01,13.45,2.04,2.32,1.44,0.86,0.28
54-01,54,62311,30.21,26.56,15.25,11.47,10.0,2.68,1.87,1.1,0.53,0.32
54-02,54,55329,31.38,28.08,13.4,10.0,11.3,2.47,1.66,0.98,0.4,0.32
54-03,54,63286,28.41,19.99,21.57,18.31,6.43,1.32,1.63,1.44,0.69,0.2
54-04,54,77582,25.18,24.81,25.48,9.72,8.61,1.46,2.26,1.42,0.78,0.28
54-05,54,62520,25.03,26.05,24.7,9.39,8.79,1.69,2.02,1.33,0.72,0.28
54-06,54,68875,28.34,20.53,24.33,13.59,7.48,1.44,1.91,1.33,0.78,0.28
55-01,55,64071,23.68,25.77,26.25,8.5,9.52,1.66,2.06,1.53,0.68,0.35
55-02,55,48383,23.02,27.6,25.26,9.31,8.83,1.51,2.03,1.47,0.74,0.24
56-01,56,82641,28.36,32.5,12.14,8.6,11.92,2.97,1.77,1.1,0.38,0.27
56-02,56,82388,26.35,29.61,16.24,10.02,10.43,3.1,1.9,1.47,0.61,0.27
56-03,56,73325,26.9,26.91,18.12,9.74,11.68,2.34,1.91,1.41,0.72,0.25
56-04,56,85869,26.6,29.26,16.85,9.48,11.19,2.29,1.96,1.38,0.72,0.25
56-05,56,63162,32.43,25.23,13.77,12.35,9.02,3.42,1.58,1.33,0.57,0.3
56-06,56,73773,30.18,24.12,16.05,11.88,10.47,2.84,1.94,1.53,0.66,0.32
57-01,57,68229,28.45,24.09,21.93,11.11,8.71,1.89,1.63,1.28,0.66,0.25
57-02,57,58849,25.19,29.46,20.27,8.99,10.39,1.96,1.81,1.12,0.57,0.24
57-03,57,56661,25.65,28.12,19.87,9.81,10.28,2.25,1.88,1.23,0.63,0.27
57-04,57,65048,17.95,30.0,28.4,6.81,10.37,1.67,2.09,1.46,0.94,0.31
57-05,57,57783,19.31,27.53,28.95,7.09,10.47,1.59,2.22,1.6,0.94,0.31
57-06,57,52940,25.9,23.33,29.78,8.56,7.26,1.27,1.65,1.21,0.82,0.22
57-07,57,70881,23.06,23.88,29.57,8.79,8.88,1.41,1.9,1.5,0.76,0.26
57-08,57,67129,30.7,19.01,24.01,14.22,6.44,1.39,1.59,1.61,0.8,0.23
57-09,57,74552,24.22,28.39,20.5,9.64,10.76,2.08,2.0,1.4,0.72,0.29
58-01,58,61056,32.99,22.19,19.35,12.12,7.56,1.76,1.89,1.23,0.66,0.25
58-02,58,69540,32.34,22.8,19.77,11.79,7.38,1.53,2.03,1.33,0.77,0.26
59-01,59,43912,34.77,20.85,14.32,15.24,8.29,3.46,1.07,1.13,0.6,0.27
59-02,59,66275,33.59,20.63,16.3,15.45,7.9,3.06,1.19,1.04,0.63,0.21
59-03,59,72111,27.6,22.8,26.45,12.4,5.72,1.17,1.6,1.15,0.87,0.23
59-04,59,74531,25.07,32.48,15.78,10.18,10.7,2.64,1.49,0.92,0.51,0.23
59-05,59,76774,26.79,25.35,22.04,11.67,8.56,1.77,1.76,1.15,0.66,0.26
59-06,59,69795,24.71,32.21,18.74,9.33,9.68,1.93,1.72,0.9,0.54,0.25
59-07,59,54376,27.0,30.62,17.88,10.52,9.05,1.77,1.52,0.86,0.56,0.22
59-08,59,47973,36.82,18.37,21.27,13.15,5.67,1.57,1.13,1.13,0.67,0.23
59-09,59,66958,23.53,38.56,13.11,9.48,9.96,2.65,1.31,0.74,0.4,0.26
59-10,59,58135,26.45,28.05,22.3,10.27,7.76,1.66,1.53,1.06,0.71,0.2
59-11,59,68058,30.21,24.62,19.37,11.92,8.08,2.39,1.42,1.08,0.63,0.27
59-12,59,73783,26.09,22.71,25.19,14.5,6.36,1.23,1.79,1.17,0.78,0.19
59-13,59,68299,32.2,18.6,24.98,12.92,5.68,1.45,1.46,1.47,0.97,0.27
59-14,59,79426,27.18,26.27,24.5,9.11,7.41,1.45,1.68,1.37,0.76,0.26
59-15,59,76482,26.48,26.98,22.87,9.45,8.57,1.6,1.82,1.27,0.77,0.21
59-16,59,64271,28.44,16.19,25.19,20.19,5.26,1.18,1.4,1.16,0.8,0.2
59-17,59,57772,28.65,21.2,24.41,14.51,6.74,1.21,1.45,1.03,0.6,0.22
59-18,59,70980,27.07,25.07,25.14,10.67,6.65,1.17,1.99,1.14,0.86,0.22
59-19,59,60631,28.69,17.15,26.93,17.8,4.92,1.0,1.46,1.05,0.77,0.23
59-20,59,59397,25.31,19.97,28.0,16.06,5.7,1.3,1.45,1.23,0.74,0.24
59-21,59,61160,26.09,24.98,22.71,13.72,7.38,1.45,1.71,1.01,0.72,0.22
60-01,60,64604,25.29,25.16,26.99,9.3,7.1,1.37,2.03,1.48,1.02,0.25
60-02,60,69322,22.12,27.58,27.9,9.04,7.43,1.38,2.03,1.37,0.9,0.23
60-03,60,55698,29.38,22.37,24.14,12.5,6.37,1.34,1.8,1.18,0.69,0.22
60-04,60,71700,21.23,34.1,21.72,8.33,9.14,1.86,1.94,0.93,0.51,0.23
60-05,60,56430,26.32,25.2,24.54,9.98,8.03,1.71,1.98,1.2,0.75,0.27
60-06,60,58847,23.83,27.18,24.45,10.69,8.0,1.52,2.01,1.28,0.77,0.27
60-07,60,59368,27.69,22.6,25.77,11.66,6.87,1.38,1.83,1.13,0.82,0.25
61-01,61,57818,24.58,29.95,18.24,9.04,11.61,1.86,2.31,1.49,0.7,0.22
61-02,61,56125,21.04,32.13,22.86,7.83,9.54,1.57,2.58,1.39,0.79,0.28
61-03,61,59811,26.99,27.0,19.03,9.83,10.46,1.92,2.33,1.46,0.75,0.23
62-01,62,85807,25.22,26.66,25.73,9.45,7.63,1.07,1.86,1.31,0.87,0.19
62-02,62,68196,30.26,25.28,19.11,10.47,9.32,1.78,1.74,1.19,0.62,0.23
62-03,62,64369,30.76,14.87,29.36,16.23,3.98,1.05,1.31,1.36,0.89,0.2
62-04,62,70705,25.98,31.42,21.42,8.61,7.3,1.19,1.83,1.2,0.82,0.22
62-05,62,69786,32.31,22.82,22.25,11.1,6.29,1.45,1.53,1.26,0.78,0.21
62-06,62,74394,28.8,24.89,25.22,8.65,7.1,1.1,2.03,1.27,0.78,0.17
62-07,62,69894,29.21,21.42,25.64,12.44,6.13,1.23,1.58,1.34,0.79,0.23
62-08,62,73480,31.48,21.21,24.38,10.93,6.57,1.16,1.79,1.28,0.98,0.22
62-09,62,62502,28.18,24.01,23.8,10.82,7.67,1.44,1.79,1.2,0.84,0.26
62-10,62,67499,31.11,17.01,27.78,13.48,5.31,1.08,1.6,1.42,1.0,0.21
62-11,62,70292,28.75,15.79,31.42,14.85,4.55,1.05,1.34,1.16,0.84,0.24
62-12,62,72215,32.11,15.43,30.13,12.42,4.67,1.07,1.48,1.46,1.03,0.21
63-01,63,64793,37.46,19.42,14.35,13.97,9.15,2.07,1.53,1.19,0.63,0.24
63-02,63,71644,32.19,20.96,16.42,14.34,10.01,1.88,1.89,1.35,0.72,0.24
63-03,63,71045,31.49,26.5,12.23,11.8,11.68,2.73,1.77,1.11,0.45,0.25
63-04,63,79430,34.9,19.68,14.96,14.62,9.67,2.04,1.85,1.29,0.64,0.34
63-05,63,82532,30.07,20.69,19.29,14.99,9.32,1.58,1.8,1.26,0.74,0.26
64-01,64,54687,31.66,22.89,12.35,11.89,15.43,2.65,1.41,1.19,0.31,0.22
64-02,64,63960,29.82,21.49,13.14,10.56,19.86,2.16,1.38,1.12,0.28,0.18
64-03,64,67635,32.48,19.78,13.65,12.22,15.73,2.17,1.65,1.57,0.49,0.25
64-04,64,65993,29.47,21.13,11.11,12.68,17.81,3.14,1.4,2.35,0.67,0.25
64-05,64,66765,30.27,25.39,11.75,12.63,12.7,3.34,1.41,1.85,0.45,0.22
64-06,64,74617,26.54,30.06,11.09,11.29,12.95,3.68,1.47,2.15,0.54,0.23
65-01,65,71394,34.74,19.03,14.34,16.1,9.94,2.13,1.55,1.43,0.54,0.21
65-02,65,73310,31.62,21.72,15.47,14.24,11.15,2.03,1.73,1.29,0.54,0.2
66-01,66,53168,26.45,26.33,23.64,11.97,6.72,1.93,1.28,1.02,0.41,0.24
66-02,66,72481,24.19,26.08,27.42,11.66,5.77,1.66,1.39,1.18,0.47,0.19
66-03,66,63866,26.67,24.57,22.21,13.77,6.58,2.66,1.32,1.45,0.55,0.24
66-04,66,74679,26.73,24.48,23.28,13.56,6.23,2.2,1.49,1.27,0.53,0.22
67-01,67,48105,33.84,27.58,9.81,11.73,10.18,4.5,0.92,0.86,0.36,0.22
67-02,67,52964,29.51,27.53,14.67,10.78,10.78,3.86,1.22,0.89,0.48,0.28
67-03,67,51580,27.38,30.07,15.91,9.54,11.1,3.08,1.27,0.9,0.5,0.25
67-04,67,72314,18.99,37.55,18.7,6.35,12.68,2.56,1.67,0.75,0.48,0.27
67-05,67,78369,16.5,33.77,23.73,6.32,12.68,2.82,2.0,1.05,0.8,0.31
67-06,67,72972,16.32,34.54,23.55,6.53,12.41,2.5,2.05,1.12,0.68,0.31
67-07,67,67469,13.89,34.1,26.71,5.93,12.65,2.4,2.01,1.24,0.81,0.27
67-08,67,72326,13.3,35.65,27.66,4.97,11.76,2.05,2.1,1.32,0.85,0.34
67-09,67,69833,15.89,37.22,23.27,5.9,12.04,2.0,1.78,0.97,0.66,0.27
68-01,68,57459,20.04,31.42,22.72,6.91,11.91,2.81,2.03,1.19,0.67,0.31
68-02,68,72857,16.64,32.5,23.51,6.9,12.31,3.51,2.24,1.32,0.74,0.32
68-03,68,66348,14.27,38.12,22.15,6.33,12.17,2.68,2.23,1.13,0.59,0.32
68-04,68,79473,17.99,28.38,27.54,7.92,11.02,2.33,2.36,1.36,0.76,0.34
68-05,68,58639,23.1,32.24,18.85,8.38,11.14,2.87,1.68,0.92,0.51,0.32
68-06,68,70635,22.13,29.53,24.3,8.02,9.91,2.12,1.93,1.15,0.55,0.35
69-01,69,52918,30.73,27.74,12.31,11.85,10.73,3.5,1.51,0.89,0.47,0.27
69-02,69,58986,31.02,29.16,7.65,14.32,9.89,5.34,1.18,0.8,0.37,0.28
69-03,69,55241,32.09,27.5,10.35,12.29,10.77,4.13,1.38,0.75,0.45,0.28
69-04,69,63069,27.5,36.85,9.47,9.09,11.21,3.39,1.34,0.62,0.31,0.22
69-05,69,67161,22.04,39.68,12.79,8.18,11.56,2.74,1.73,0.71,0.34,0.23
69-06,69,61208,33.82,24.08,13.41,12.97,9.24,3.33,1.45,0.91,0.54,0.26
69-07,69,48636,34.66,23.42,15.32,13.36,7.82,2.14,1.55,0.85,0.61,0.28
69-08,69,81527,20.59,35.31,17.84,8.56,11.52,2.38,2.18,0.88,0.46,0.27
69-09,69,69937,20.4,33.03,21.03,8.93,10.69,2.14,2.14,0.89,0.49,0.26
69-10,69,74586,21.63,35.43,15.73,8.17,12.31,2.83,2.36,0.83,0.44,0.27
69-11,69,70724,24.85,28.28,19.77,11.02,9.81,2.61,1.86,0.98,0.57,0.26
69-12,69,62587,25.99,33.11,13.62,9.98,11.35,2.78,1.67,0.78,0.43,0.28
69-13,69,63917,25.53,30.65,20.27,9.19,9.11,1.96,1.79,0.81,0.48,0.22
69-14,69,53154,34.71,19.19,18.63,15.94,6.38,1.67,1.44,1.06,0.79,0.19
70-01,70,72728,26.09,27.6,23.13,9.19,7.99,1.74,2.07,1.22,0.68,0.29
70-02,70,73808,26.67,22.89,27.08,10.09,7.23,1.42,2.0,1.51,0.85,0.26
71-01,71,57374,27.12,28.43,17.2,11.05,9.92,2.43,2.02,1.05,0.5,0.27
71-02,71,64945,27.85,26.7,19.09,10.47,9.93,1.38,2.35,1.24,0.71,0.28
71-03,71,67027,29.42,25.95,20.82,9.84,8.31,1.63,1.91,1.26,0.6,0.27
71-04,71,64925,27.46,25.19,23.09,10.16,8.41,1.4,2.08,1.32,0.7,0.2
71-05,71,70555,31.18,24.23,19.62,11.66,7.82,1.62,1.8,1.22,0.63,0.21
72-01,72,58110,27.3,28.86,16.81,10.16,10.38,2.32,2.08,1.25,0.62,0.22
72-02,72,64962,31.99,22.91,18.89,12.32,8.02,1.77,1.88,1.22,0.73,0.25
72-03,72,68961,26.22,26.33,21.4,10.59,8.81,1.66,2.39,1.49,0.88,0.22
72-04,72,63903,27.81,26.18,18.97,11.38,9.35,1.88,2.1,1.36,0.75,0.23
72-05,72,70166,27.39,27.99,19.38,9.49,9.28,1.86,2.27,1.36,0.75,0.23
73-01,73,67303,22.33,30.55,19.36,9.64,10.98,3.3,2.12,1.01,0.41,0.29
73-02,73,59725,20.5,31.35,18.98,11.97,9.39,3.32,2.33,1.34,0.55,0.26
73-03,73,57913,24.57,26.49,20.72,11.63,9.19,2.99,2.27,1.25,0.58,0.31
73-04,73,58174,27.45,25.63,16.55,12.89,9.81,4.09,1.7,1.19,0.47,0.23
74-01,74,76673,21.48,33.64,15.94,8.4,12.9,3.78,2.2,0.98,0.38,0.3
74-02,74,73429,22.48,33.11,14.95,9.25,12.55,3.78,2.14,1.06,0.41,0.28
74-03,74,61061,19.52,31.57,19.01,9.67,11.83,3.78,2.66,1.17,0.46,0.32
74-04,74,61242,21.4,33.58,16.09,9.27,11.81,3.65,2.32,1.06,0.45,0.36
74-05,74,70267,19.59,35.07,16.51,9.71,11.36,3.15,2.5,1.3,0.51,0.28
74-06,74,59343,18.06,37.67,17.39,9.23,10.12,3.38,2.17,1.18,0.48,0.32
75-01,75,60879,29.08,41.98,5.25,7.51,10.47,3.97,0.89,0.45,0.16,0.23
75-02,75,57456,28.64,42.11,5.21,7.47,10.8,3.88,0.96,0.5,0.21,0.24
75-03,75,50975,36.63,28.74,6.71,11.24,10.22,4.12,1.02,0.73,0.32,0.25
75-04,75,53524,16.33,61.66,5.89,3.76,9.02,1.91,0.87,0.3,0.08,0.18
75-05,75,56457,41.87,23.07,4.97,13.48,8.85,5.79,0.79,0.7,0.29,0.19
75-06,75,58351,43.03,19.5,5.36,16.63,7.5,5.66,0.9,0.86,0.32,0.25
75-07,75,58322,40.24,25.34,5.09,12.39,9.7,5.25,0.92,0.61,0.25,0.21
75-08,75,63730,36.66,27.7,7.29,11.76,9.92,4.13,1.25,0.76,0.3,0.23
75-09,75,52364,40.07,22.23,7.6,13.76,9.34,4.24,1.24,0.91,0.36,0.25
75-10,75,52241,39.44,23.76,7.55,12.86,9.57,4.22,1.2,0.79,0.35,0.26
75-11,75,56074,35.59,31.68,5.35,9.88,11.04,4.34,1.05,0.62,0.24,0.22
75-12,75,57188,26.71,44.37,5.95,6.24,11.77,2.98,1.08,0.5,0.17,0.23
75-13,75,57789,30.94,37.49,7.07,8.0,11.17,3.13,1.22,0.57,0.19,0.22
75-14,75,55872,15.42,63.19,5.7,3.39,8.86,1.84,1.02,0.28,0.1,0.21
75-15,75,57745,42.51,18.91,7.33,16.7,7.18,4.74,1.0,0.94,0.44,0.25
75-16,75,51019,41.11,22.56,6.59,15.83,6.73,4.81,0.9,0.85,0.41,0.21
75-17,75,41415,44.14,18.53,6.95,16.76,6.1,4.85,0.87,1.01,0.49,0.29
75-18,75,51073,41.85,21.48,6.09,14.19,8.57,5.61,0.84,0.82,0.35,0.21
76-01,76,50770,32.39,27.99,10.86,12.83,9.65,3.16,1.44,0.99,0.43,0.26
76-02,76,74940,25.27,31.52,17.02,10.16,10.25,1.94,2.02,1.06,0.51,0.25
76-03,76,54657,36.62,16.68,16.44,18.35,6.44,1.85,1.44,1.31,0.66,0.21
76-04,76,69810,36.62,18.07,19.24,14.69,6.2,1.21,1.62,1.42,0.71,0.22
76-05,76,75924,30.83,22.94,20.37,12.15,7.99,1.41,1.93,1.36,0.75,0.26
76-06,76,88144,25.36,27.05,22.81,12.31,6.97,1.23,2.0,1.17,0.86,0.23
76-07,76,68000,27.24,28.39,16.6,13.64,8.46,1.92,1.6,1.27,0.64,0.23
76-08,76,50170,31.34,18.0,19.36,20.07,5.93,1.46,1.42,1.4,0.8,0.22
76-09,76,75076,26.19,26.78,21.16,12.2,7.75,1.38,1.94,1.54,0.82,0.25
76-10,76,87910,27.09,28.16,20.78,9.98,8.26,1.38,2.04,1.28,0.77,0.26
77-01,77,51223,28.31,28.54,17.77,10.42,9.04,2.02,2.2,0.9,0.49,0.3
77-02,77,61498,24.26,31.1,18.46,9.94,9.67,2.48,2.29,1.02,0.5,0.27
77-03,77,56808,26.7,26.0,21.58,11.37,8.21,2.08,2.21,1.11,0.49,0.26
77-04,77,66722,21.47,28.77,26.31,9.74,7.57,1.59,2.6,1.16,0.57,0.21
77-05,77,60798,23.25,29.87,22.49,9.9,8.46,1.88,2.26,1.15,0.48,0.26
77-06,77,56985,27.25,27.56,22.71,10.32,7.18,1.45,1.79,1.05,0.47,0.22
77-07,77,62204,26.39,26.69,21.0,12.41,8.21,1.78,1.93,0.93,0.42,0.24
77-08,77,62952,30.62,27.88,14.89,10.93,9.87,2.16,2.08,0.9,0.39,0.27
77-09,77,61923,27.85,28.13,18.38,10.47,9.03,1.94,2.56,0.99,0.39,0.26
77-10,77,58227,35.02,23.13,14.82,13.19,8.32,2.24,1.61,0.96,0.44,0.27
77-11,77,46458,35.79,20.47,16.26,12.96,8.39,2.0,2.37,1.03,0.46,0.27
78-01,78,64023,26.85,37.21,9.58,8.18,12.72,2.67,1.61,0.69,0.25,0.23
78-02,78,65984,25.53,36.05,10.76,8.05,13.43,3.09,1.78,0.71,0.28,0.33
78-03,78,63939,22.22,45.44,9.07,6.48,11.95,2.25,1.47,0.6,0.27,0.24
78-04,78,59863,25.93,37.76,9.92,7.75,12.92,2.96,1.54,0.7,0.24,0.29
78-05,78,54993,26.69,37.29,10.44,8.26,11.68,2.69,1.65,0.7,0.27,0.31
78-06,78,55798,24.91,39.12,10.67,8.54,11.56,2.51,1.46,0.64,0.32,0.27
78-07,78,60176,29.32,29.63,14.67,9.79,10.56,2.67,1.73,0.9,0.45,0.27
78-08,78,53313,32.63,23.57,18.52,12.84,7.28,1.72,1.67,0.95,0.53,0.28
78-09,78,69617,26.46,30.41,18.71,9.78,8.9,1.9,2.04,1.04,0.47,0.29
78-10,78,69792,25.73,33.52,13.53,9.29,11.64,2.76,2.05,0.82,0.38,0.29
78-11,78,49694,35.27,25.76,10.91,12.17,10.34,2.14,1.81,0.9,0.41,0.29
78-12,78,52121,29.17,32.53,11.95,9.21,11.33,2.49,1.85,0.89,0.33,0.26
79-01,79,71674,36.32,23.23,11.22,11.45,11.01,2.42,2.03,1.45,0.62,0.24
79-02,79,80209,34.17,23.41,14.87,10.57,9.97,1.99,2.29,1.7,0.76,0.26
79-03,79,69832,29.31,28.69,14.47,8.62,12.18,1.65,2.38,1.64,0.8,0.26
80-01,80,66210,31.87,20.65,23.18,12.63,6.51,1.24,1.77,1.18,0.81,0.15
80-02,80,58392,30.38,26.03,16.85,11.5,9.5,2.13,1.75,1.0,0.63,0.23
80-03,80,69978,26.57,24.93,25.34,11.51,6.22,0.81,2.15,1.26,1.0,0.22
80-04,80,68189,26.47,24.8,25.58,9.43,7.84,1.19,2.14,1.4,0.89,0.27
80-05,80,66368,26.97,23.28,26.95,10.02,6.8,0.89,2.26,1.54,1.06,0.23
81-01,81,68965,30.4,24.67,18.11,11.11,10.16,1.98,1.63,1.23,0.47,0.24
81-02,81,85385,32.96,20.59,18.51,13.79,8.35,2.29,1.52,1.25,0.53,0.22
81-03,81,82364,28.58,24.89,20.05,11.37,9.22,2.12,1.73,1.28,0.53,0.24
82-01,82,71500,27.97,25.83,20.58,11.45,8.45,2.15,1.71,1.16,0.43,0.26
82-02,82,74344,27.31,24.47,23.56,10.93,8.11,1.78,1.8,1.26,0.52,0.25
83-01,83,56199,22.04,34.09,22.48,9.21,7.22,1.98,1.56,0.84,0.37,0.2
83-02,83,68421,22.1,30.79,25.62,9.66,6.86,1.81,1.56,0.97,0.42,0.22
83-03,83,77812,20.14,36.31,22.81,8.95,6.83,2.01,1.58,0.83,0.31,0.23
83-04,83,79765,16.9,40.06,24.76,7.64,5.77,1.87,1.54,0.88,0.36,0.21
83-05,83,72656,17.32,40.95,24.98,6.04,6.5,1.49,1.55,0.71,0.26,0.19
83-06,83,87455,19.74,30.69,26.75,10.57,6.97,2.03,1.75,0.94,0.34,0.22
83-07,83,78649,20.06,34.56,24.17,9.88,6.66,1.71,1.6,0.81,0.35,0.2
83-08,83,79773,19.73,31.37,26.29,10.41,6.61,2.16,1.86,0.97,0.38,0.21
84-01,84,56249,28.89,23.77,22.84,12.67,6.46,2.58,1.3,0.91,0.37,0.21
84-02,84,65512,21.43,28.44,26.88,10.86,6.71,2.6,1.51,0.97,0.37,0.23
84-03,84,57807,19.1,27.65,31.5,10.52,6.41,1.84,1.4,0.95,0.43,0.19
84-04,84,69735,20.34,28.72,29.03,10.26,6.88,1.71,1.63,0.87,0.37,0.19
84-05,84,63586,22.6,28.13,24.65,11.63,7.13,2.6,1.58,1.06,0.4,0.23
85-01,85,85247,26.21,30.99,14.53,8.68,12.93,2.02,2.28,1.45,0.67,0.25
85-02,85,81903,27.34,30.56,15.1,9.13,11.48,2.0,2.19,1.41,0.59,0.22
85-03,85,93095,22.25,36.91,16.73,7.88,10.02,1.84,2.25,1.32,0.56,0.25
85-04,85,80349,22.14,34.51,13.18,7.64,15.49,1.85,2.61,1.59,0.72,0.26
85-05,85,66790,26.71,30.62,16.39,9.17,10.78,1.63,2.34,1.5,0.65,0.21
86-01,86,62602,34.93,22.64,14.49,11.63,9.86,2.44,1.89,1.27,0.63,0.21
86-02,86,61614,34.31,24.32,12.1,11.76,10.47,2.95,2.0,1.26,0.6,0.25
86-03,86,61428,30.75,25.57,17.9,10.36,8.89,1.71,2.25,1.52,0.81,0.23
86-04,86,60046,27.8,25.52,21.32,10.24,9.12,1.56,2.06,1.35,0.8,0.22
87-01,87,69541,37.39,18.47,16.15,15.24,7.32,1.86,1.54,1.17,0.65,0.21
87-02,87,80714,34.93,20.77,16.32,14.27,8.09,1.84,1.71,1.19,0.62,0.26
87-03,87,67684,35.53,20.12,16.87,13.58,8.22,1.7,1.74,1.28,0.72,0.24
88-01,88,60938,26.83,25.5,22.67,9.14,9.49,1.87,2.21,1.35,0.66,0.27
88-02,88,59184,24.03,23.59,27.77,9.72,8.41,1.67,2.23,1.56,0.76,0.27
88-03,88,53804,23.22,26.0,22.36,10.16,10.69,1.98,2.66,1.84,0.81,0.29
88-04,88,54976,24.43,26.33,23.76,9.77,9.1,1.52,2.46,1.52,0.78,0.32
89-01,89,62817,25.08,28.07,21.43,9.99,9.11,2.05,2.2,1.19,0.65,0.24
89-02,89,62235,24.44,26.57,24.07,10.59,8.29,1.54,2.15,1.35,0.72,0.27
89-03,89,69424,22.62,28.16,25.37,9.61,8.05,1.7,2.29,1.29,0.67,0.24
90-01,90,37388,25.06,25.31,24.34,10.74,8.67,1.83,1.79,1.29,0.64,0.31
90-02,90,37535,26.94,22.45,23.14,12.07,9.02,2.21,1.79,1.35,0.76,0.27
91-01,91,51574,39.02,19.11,14.53,14.24,7.32,2.15,1.86,1.02,0.54,0.21
91-02,91,69119,24.08,28.37,20.69,11.38,9.12,1.97,2.59,1.08,0.45,0.25
91-03,91,72763,27.25,26.85,17.43,12.11,9.91,2.31,2.34,1.07,0.45,0.27
91-04,91,73230,27.96,28.62,15.3,11.05,10.81,2.29,2.28,1.0,0.42,0.26
91-05,91,53403,32.9,28.77,8.22,11.29,12.32,3.48,1.61,0.77,0.35,0.29
91-06,91,59402,33.08,24.7,12.8,12.66,10.47,2.91,1.82,0.87,0.39,0.29
91-07,91,55022,31.52,25.06,16.59,12.53,8.51,2.04,2.13,0.96,0.41,0.23
