# Presidentielle 2012, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 2012 - Resultats'
#   (dataset contenant regions/departements/circonscriptions legislatives/cantons), feuille 'Circo leg T1'.
#   URL dataset: https://www.data.gouv.fr/datasets/election-presidentielle-2012-resultats-572124/
#   URL fichier xls: https://static.data.gouv.fr/ff/e9c9483d39e00030815089aca1e2939f9cb99a84b0136e43056790e47bb4f0.xls
# DONNEES REELLES (pas de fabrication). 577 circonscriptions.
# NOTE : en 2012, Melenchon (LFI ici) etait candidat du Front de Gauche (incluant le PCF) ; nuance
#   utilisee = LFI pour continuite de lignee avec 2017/2022, mais le perimetre du candidat differe
#   (FG 2012 != LFI seul en 2017/2022).
# Agregat national reconstitue (pondere par exprimes) vs officiel (1er tour 2012) :
#   PS 28.63 (off. 28.63) | LR 27.18 (off. 27.18) | RN 17.90 (off. 17.90) |
#   LFI 11.10 (off. 11.10) | MDM 9.13 (off. 9.13) | EELV 2.31 (off. 2.31) |
#   DLF 1.79 (off. 1.79) | NPA 1.15 (off. 1.15) | LO 0.56 (off. 0.56) |
#   SP 0.25 (off. 0.25)
# circo_id normalise au format AA-CC (departement zfill2 si numerique, sinon 2A/2B/ZA.. tel quel ;
#   circonscription zfill2) pour jointure avec fr_pres2017_circo.csv / fr_pres2022_circo.csv.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,PS,LR,RN,LFI,MDM,EELV,DLF,NPA,LO,SP
13-07,13,45309,38.55,13.4,23.21,18.59,2.97,1.25,0.79,0.62,0.44,0.17
13-08,13,74671,22.54,28.83,25.05,10.76,7.71,1.94,1.7,0.85,0.39,0.24
13-09,13,74599,20.79,30.29,23.61,14.15,6.25,2.19,1.43,0.79,0.3,0.2
13-10,13,81870,21.26,28.0,25.3,13.39,7.12,2.13,1.44,0.77,0.37,0.23
13-11,13,67248,23.38,31.71,20.43,11.69,7.92,2.4,1.34,0.6,0.3,0.22
13-12,13,70478,21.84,26.66,29.9,11.99,5.44,1.39,1.43,0.81,0.35,0.2
13-13,13,72303,23.61,19.46,25.58,21.53,5.03,1.57,1.25,1.17,0.55,0.25
13-14,13,75066,25.68,30.73,17.14,11.71,8.71,3.15,1.56,0.71,0.3,0.31
13-15,13,80262,20.09,30.36,26.52,10.31,7.2,2.18,1.8,0.92,0.36,0.25
13-16,13,70422,23.99,23.95,27.78,13.52,5.83,1.83,1.39,1.04,0.44,0.23
14-01,14,57303,33.46,25.82,10.8,11.61,11.35,3.13,1.78,1.27,0.54,0.24
14-02,14,54211,36.57,19.97,13.56,13.41,10.2,2.38,1.61,1.39,0.64,0.27
14-03,14,62997,27.1,27.14,20.5,9.78,9.02,1.75,2.12,1.51,0.84,0.24
14-04,14,79349,24.98,33.84,16.7,9.73,9.03,1.75,1.99,1.18,0.56,0.24
14-05,14,71373,27.52,29.15,16.45,9.67,10.62,2.18,2.24,1.3,0.62,0.25
14-06,14,76199,29.18,25.41,17.95,10.09,10.63,1.9,2.39,1.43,0.76,0.27
15-01,15,52773,33.58,26.8,14.21,9.81,10.3,1.65,1.66,1.17,0.57,0.25
15-02,15,45633,27.68,30.7,16.17,8.01,12.15,1.45,1.66,1.31,0.63,0.23
16-01,16,66184,35.58,22.11,15.83,11.74,8.87,2.13,1.75,1.26,0.52,0.21
16-02,16,67994,29.82,25.7,18.55,9.98,9.31,1.87,2.2,1.56,0.75,0.25
16-03,16,75281,33.03,21.5,18.64,12.16,8.32,1.54,2.16,1.58,0.81,0.28
17-01,17,78937,32.95,28.44,11.55,11.19,9.34,3.14,1.6,1.17,0.43,0.18
17-02,17,78685,30.55,25.55,16.63,11.47,9.32,2.19,2.1,1.42,0.56,0.22
17-03,17,65200,29.61,25.25,17.95,11.22,9.24,2.02,2.23,1.57,0.68,0.24
17-04,17,70438,25.59,28.93,21.04,8.99,9.01,1.72,2.32,1.53,0.62,0.25
17-05,17,85481,23.91,31.64,20.29,9.14,8.54,1.92,2.21,1.47,0.59,0.28
18-01,18,58637,26.15,27.55,18.95,12.17,9.25,1.68,2.14,1.16,0.71,0.25
18-02,18,54830,27.3,22.67,18.71,17.5,8.17,1.5,1.88,1.26,0.79,0.22
18-03,18,68148,26.86,24.57,21.21,12.25,9.02,1.55,2.26,1.24,0.79,0.25
19-01,19,80242,44.72,19.82,12.39,11.72,6.61,1.43,1.66,1.07,0.41,0.17
19-02,19,75853,41.12,23.47,14.29,9.3,7.28,1.33,1.64,0.96,0.43,0.18
21-01,21,56021,29.81,31.95,12.86,9.22,10.23,2.88,1.6,0.77,0.42,0.27
21-02,21,53719,28.77,28.27,18.53,9.31,9.3,2.17,1.9,0.99,0.52,0.24
21-03,21,55895,31.6,24.11,19.48,10.63,8.57,1.86,1.96,1.02,0.54,0.22
21-04,21,56197,25.47,27.65,21.29,9.85,9.33,1.91,2.19,1.35,0.72,0.24
21-05,21,67239,24.08,30.46,21.5,8.7,9.41,1.76,2.08,1.17,0.61,0.24
22-01,22,73427,34.41,22.37,12.42,12.99,11.16,2.99,1.56,1.24,0.6,0.25
22-02,22,79494,31.41,27.08,14.22,10.2,10.68,2.44,1.84,1.29,0.62,0.22
22-03,22,73605,31.41,25.7,15.11,10.62,11.14,1.84,1.89,1.32,0.72,0.23
22-04,22,67185,34.85,18.85,13.49,15.39,10.18,3.0,1.61,1.57,0.77,0.28
22-05,22,85826,33.28,24.49,12.75,12.24,9.92,3.53,1.65,1.27,0.67,0.22
23-01,23,77750,34.02,22.23,16.27,13.01,8.33,1.76,1.93,1.49,0.72,0.25
24-01,24,61817,33.32,21.84,15.98,15.13,7.69,2.03,1.84,1.38,0.6,0.2
24-02,24,66455,28.37,23.86,20.35,12.27,8.97,2.27,1.82,1.32,0.51,0.27
24-03,24,57565,33.0,23.61,16.49,13.28,7.6,1.79,1.98,1.39,0.65,0.21
24-04,24,72977,33.72,22.48,15.26,14.17,7.96,2.38,1.87,1.37,0.54,0.26
25-01,25,58482,29.37,26.03,16.15,13.16,9.06,2.69,1.63,1.09,0.62,0.2
25-02,25,62161,28.31,28.04,14.8,13.05,9.19,3.11,1.74,1.03,0.48,0.25
25-03,25,53039,26.19,27.37,23.03,9.49,8.13,1.68,1.82,1.23,0.8,0.26
25-04,25,53864,28.48,22.11,26.6,10.17,7.04,1.49,1.75,1.3,0.81,0.25
25-05,25,63866,19.7,37.52,16.8,8.78,10.22,2.58,2.22,1.28,0.57,0.33
26-01,26,58198,28.38,27.77,17.79,10.9,8.96,2.65,1.74,0.98,0.59,0.24
26-02,26,70998,24.53,26.05,23.94,11.25,8.34,2.11,1.9,1.06,0.53,0.3
26-03,26,85669,23.83,25.01,19.0,14.47,9.49,4.14,1.93,1.25,0.62,0.25
26-04,26,73388,24.33,26.17,22.89,11.1,8.65,2.29,2.13,1.08,1.1,0.26
27-01,27,67177,23.37,29.94,22.86,9.18,8.58,1.66,2.18,1.34,0.63,0.25
27-02,27,62482,24.85,28.06,22.25,10.01,8.74,1.74,2.05,1.37,0.66,0.28
27-03,27,66491,23.96,28.4,22.65,10.12,8.87,1.59,2.17,1.39,0.62,0.24
27-04,27,69184,27.06,24.91,21.97,11.69,8.14,1.7,2.11,1.48,0.64,0.3
27-05,27,69141,23.99,27.69,23.99,10.61,7.8,1.6,2.06,1.27,0.72,0.26
28-01,28,69453,26.45,30.22,17.19,9.52,10.45,2.04,2.16,1.15,0.53,0.29
28-02,28,56045,26.69,28.11,21.77,9.37,8.2,1.64,2.18,1.16,0.65,0.23
28-03,28,56480,26.38,28.62,21.53,8.76,8.92,1.37,2.21,1.28,0.69,0.24
28-04,28,54837,23.08,30.43,23.27,8.05,9.04,1.24,2.45,1.32,0.84,0.28
29-01,29,72006,34.2,24.64,10.71,10.97,12.04,3.23,1.8,1.54,0.6,0.27
29-02,29,61019,37.44,22.62,11.11,12.01,10.36,3.01,1.43,1.29,0.48,0.26
29-03,29,71754,32.47,25.87,12.75,10.23,12.07,2.66,1.87,1.3,0.54,0.26
29-04,29,68860,35.64,24.53,10.47,12.25,10.6,2.75,1.62,1.32,0.56,0.26
29-05,29,76951,32.88,26.85,11.43,9.71,12.66,2.52,1.79,1.34,0.58,0.25
29-06,29,74876,32.4,23.67,12.96,12.25,11.04,3.03,1.89,1.76,0.68,0.32
29-07,29,65739,32.43,24.01,12.14,12.44,11.19,3.28,1.98,1.62,0.61,0.28
29-08,29,68867,32.72,22.98,14.19,12.61,9.89,3.2,1.77,1.65,0.72,0.27
2A-01,2A,35184,24.04,30.49,25.9,9.15,5.22,2.43,0.97,1.25,0.29,0.25
2A-02,2A,39031,20.7,33.04,25.54,10.17,5.72,2.05,1.17,1.11,0.3,0.19
