# Presidentielle 2022, 2nd tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative.
# Source : ministere de l'Interieur via data.gouv.fr, ressource resultats-par-niveau-cirlg-t2-france-entiere.txt
#   (jeu 'Election presidentielle 2022 - resultats definitifs du 2nd tour'). DONNEES REELLES.
# ENS=Macron, RN=Le Pen. Agregat national reconstitue = officiel (58.55 / 41.45). Lire avec comment='#'.
circo_id,departement,exprimes,ENS_t2,RN_t2
37-01,37,44056,74.73,25.27
37-02,37,65094,59.51,40.49
37-03,37,67411,61.69,38.31
37-04,37,62813,61.2,38.8
37-05,37,61066,60.16,39.84
38-01,38,59445,79.05,20.95
38-02,38,50571,64.31,35.69
38-03,38,37375,71.57,28.43
38-04,38,62244,61.94,38.06
38-05,38,73357,63.56,36.44
38-06,38,61384,49.11,50.89
38-07,38,66544,49.04,50.96
38-08,38,56198,54.12,45.88
38-09,38,68359,59.92,40.08
38-10,38,65703,51.76,48.24
39-01,39,44313,54.11,45.89
39-02,39,37464,55.59,44.41
39-03,39,47953,50.13,49.87
40-01,40,73833,54.84,45.16
40-02,40,83724,59.95,40.05
40-03,40,69488,54.23,45.77
41-01,41,55517,59.46,40.54
41-02,41,56204,49.08,50.92
41-03,41,58073,52.98,47.02
42-01,42,40460,63.72,36.28
42-02,42,30322,68.43,31.57
42-03,42,54926,55.8,44.2
42-04,42,69563,52.96,47.04
42-05,42,70710,54.23,45.77
42-06,42,78072,54.46,45.54
43-01,43,70374,49.5,50.5
43-02,43,53978,51.02,48.98
44-01,44,51980,79.52,20.48
44-02,44,60333,82.53,17.47
44-03,44,62077,74.23,25.77
44-04,44,62135,74.72,25.28
44-05,44,89155,72.87,27.13
44-06,44,79155,60.47,39.53
44-07,44,83042,62.68,37.32
44-08,44,58190,63.09,36.91
44-09,44,91222,61.87,38.13
44-10,44,89824,70.7,29.3
45-01,45,53257,68.67,31.33
45-02,45,58489,61.65,38.35
45-03,45,49647,52.11,47.89
45-04,45,50270,47.99,52.01
45-05,45,51058,50.95,49.05
45-06,45,51492,62.62,37.38
46-01,46,48568,58.04,41.96
46-02,46,44594,60.42,39.58
47-01,47,60214,52.91,47.09
47-02,47,52333,46.5,53.5
47-03,47,51085,48.58,51.42
48-01,48,40714,54.2,45.8
49-01,49,59967,71.7,28.3
49-02,49,64574,70.76,29.24
49-03,49,50812,53.75,46.25
49-04,49,54263,59.83,40.17
49-05,49,55526,70.06,29.94
49-06,49,69984,68.43,31.57
49-07,49,57948,68.25,31.75
50-01,50,62223,58.17,41.83
50-02,50,68885,62.01,37.99
50-03,50,78411,57.88,42.12
50-04,50,58590,60.63,39.37
51-01,51,49138,58.32,41.68
51-02,51,50592,59.49,40.51
51-03,51,54132,50.0,50.0
51-04,51,52259,51.05,48.95
51-05,51,54950,42.82,57.18
52-01,52,47994,47.13,52.87
52-02,52,40822,38.24,61.76
53-01,53,51482,65.52,34.48
53-02,53,56575,65.63,34.37
53-03,53,51212,61.32,38.68
54-01,54,54264,67.44,32.56
54-02,54,44794,71.77,28.23
54-03,54,50137,49.23,50.77
54-04,54,67290,46.82,53.18
54-05,54,55589,48.96,51.04
54-06,54,57340,47.24,52.76
55-01,55,53285,44.57,55.43
55-02,55,41144,44.19,55.81
56-01,56,81796,70.11,29.89
56-02,56,79871,64.14,35.86
56-03,56,69310,57.79,42.21
56-04,56,79899,58.3,41.7
56-05,56,53541,68.07,31.93
56-06,56,65055,58.57,41.43
57-01,57,59926,54.69,45.31
57-02,57,50814,59.21,40.79
57-03,57,49636,60.75,39.25
57-04,57,57790,42.64,57.36
57-05,57,49889,43.44,56.56
57-06,57,42120,43.74,56.26
57-07,57,60530,42.25,57.75
57-08,57,55368,47.81,52.19
57-09,57,68476,58.07,41.93
58-01,58,47433,52.05,47.95
58-02,58,53902,47.99,52.01
59-01,59,39281,74.54,25.46
59-02,59,54271,70.48,29.52
59-03,59,58595,40.38,59.62
59-04,59,69608,69.14,30.86
59-05,59,71284,55.18,44.82
59-06,59,68830,61.69,38.31
59-07,59,47445,65.73,34.27
59-08,59,36408,59.26,40.74
59-09,59,60474,73.72,26.28
59-10,59,50331,57.2,42.8
59-11,59,60325,62.37,37.63
59-12,59,63421,38.88,61.12
59-13,59,54985,46.2,53.8
59-14,59,70326,46.01,53.99
59-15,59,69939,48.82,51.18
59-16,59,55204,37.44,62.56
59-17,59,48592,44.45,55.55
59-18,59,62080,39.03,60.97
59-19,59,52693,36.64,63.36
59-20,59,52328,39.96,60.04
59-21,59,52767,48.17,51.83
60-01,60,57742,43.18,56.82
60-02,60,62998,42.32,57.68
60-03,60,46961,49.39,50.61
60-04,60,65234,54.05,45.95
60-05,60,50040,48.84,51.16
60-06,60,52871,46.88,53.12
60-07,60,50811,46.29,53.71
61-01,61,47668,59.0,41.0
61-02,61,46664,50.2,49.8
61-03,61,49494,56.02,43.98
62-01,62,77772,41.26,58.74
62-02,62,60953,55.8,44.2
62-03,62,52841,36.52,63.48
62-04,62,65412,51.38,48.62
62-05,62,61226,48.31,51.69
62-06,62,69594,42.32,57.68
62-07,62,62549,40.23,59.77
62-08,62,64586,43.21,56.79
62-09,62,56508,45.86,54.14
62-10,62,61430,33.94,66.06
62-11,62,62488,36.59,63.41
62-12,62,66122,34.67,65.33
63-01,63,52952,66.25,33.75
63-02,63,61437,55.45,44.55
63-03,63,60744,68.32,31.68
63-04,63,67954,59.7,40.3
63-05,63,70206,53.06,46.94
64-01,64,46222,65.49,34.51
64-02,64,57608,62.61,37.39
64-03,64,56459,57.44,42.56
64-04,64,52860,60.1,39.9
64-05,64,65729,64.71,35.29
64-06,64,69583,67.04,32.96
65-01,65,57011,56.0,44.0
65-02,65,60256,55.03,44.97
66-01,66,47028,48.22,51.78
66-02,66,70854,39.38,60.62
66-03,66,55396,45.73,54.27
66-04,66,69225,43.31,56.69
67-01,67,40112,80.7,19.3
67-02,67,46769,73.01,26.99
67-03,67,45492,70.52,29.48
67-04,67,69921,63.88,36.12
67-05,67,75146,53.68,46.32
67-06,67,69727,53.93,46.07
67-07,67,59953,48.85,51.15
67-08,67,67661,47.93,52.07
67-09,67,66547,54.77,45.23
68-01,68,52485,54.32,45.68
68-02,68,65365,54.08,45.92
68-03,68,60949,52.01,47.99
68-04,68,72941,45.49,54.51
68-05,68,49039,62.07,37.93
68-06,68,61816,52.79,47.21
69-01,69,48888,77.17,22.83
69-02,69,51275,82.0,18.0
69-03,69,49554,80.61,19.39
69-04,69,56461,79.38,20.62
69-05,69,64076,71.73,28.27
69-06,69,53138,75.98,24.02
69-07,69,40554,68.92,31.08
69-08,69,74731,61.0,39.0
69-09,69,66954,58.12,41.88
69-10,69,72056,64.71,35.29
69-11,69,66639,58.53,41.47
69-12,69,56247,70.73,29.27
69-13,69,59491,59.16,40.84
69-14,69,41998,63.49,36.51
70-01,70,61988,45.01,54.99
70-02,70,61162,41.19,58.81
71-01,71,50184,60.69,39.31
71-02,71,53060,52.35,47.65
71-03,71,55123,52.08,47.92
71-04,71,56771,47.51,52.49
71-05,71,56712,54.79,45.21
72-01,72,50456,60.86,39.14
72-02,72,54117,57.04,42.96
72-03,72,59593,49.33,50.67
72-04,72,55414,55.05,44.95
72-05,72,59987,55.74,44.26
73-01,73,64395,58.16,41.84
73-02,73,51016,54.81,45.19
73-03,73,51083,53.65,46.35
73-04,73,51519,63.77,36.23
74-01,74,76434,64.57,35.43
74-02,74,68952,66.08,33.92
74-03,74,60648,56.03,43.97
74-04,74,57201,62.28,37.72
74-05,74,66519,59.94,40.06
74-06,74,54042,59.9,40.1
75-01,75,71529,83.84,16.16
75-02,75,55407,85.4,14.6
75-03,75,49769,86.14,13.86
75-04,75,52194,83.34,16.66
75-05,75,56227,89.5,10.5
75-06,75,54620,88.64,11.36
75-07,75,57780,88.76,11.24
75-08,75,56877,83.94,16.06
75-09,75,46577,82.23,17.77
75-10,75,46827,82.45,17.55
75-11,75,53095,86.43,13.57
75-12,75,55827,82.61,17.39
75-13,75,54845,81.84,18.16
75-14,75,55069,81.74,18.26
75-15,75,50683,85.31,14.69
75-16,75,46298,86.04,13.96
75-17,75,36523,85.42,14.58
75-18,75,49365,88.32,11.68
76-01,76,43484,75.66,24.34
76-02,76,69849,62.1,37.9
76-03,76,42126,62.32,37.68
76-04,76,55590,53.48,46.52
76-05,76,67599,50.78,49.22
76-06,76,78267,45.49,54.51
76-07,76,57037,64.46,35.54
76-08,76,37698,55.88,44.12
76-09,76,67961,47.95,52.05
76-10,76,81234,48.67,51.33
77-01,77,43614,60.29,39.71
77-02,77,53773,57.52,42.48
77-03,77,48262,51.45,48.55
77-04,77,59593,43.58,56.42
77-05,77,58001,52.44,47.56
77-06,77,51139,50.52,49.48
77-07,77,56460,56.81,43.19
77-08,77,61658,66.28,33.72
77-09,77,55381,58.56,41.44
77-10,77,49473,69.18,30.82
77-11,77,39661,62.61,37.39
78-01,78,57469,73.43,26.57
78-02,78,61947,73.64,26.36
78-03,78,59376,73.92,26.08
78-04,78,56733,77.3,22.7
78-05,78,51608,76.02,23.98
78-06,78,51509,74.94,25.06
78-07,78,52593,69.79,30.21
78-08,78,44470,62.51,37.49
78-09,78,61690,60.54,39.46
78-10,78,64387,67.0,33.0
78-11,78,44025,71.64,28.36
78-12,78,48581,72.03,27.97
79-01,79,62140,68.57,31.43
79-02,79,67855,58.74,41.26
79-03,79,59610,59.28,40.72
80-01,80,55417,51.87,48.13
80-02,80,51963,66.74,33.26
80-03,80,59913,43.34,56.66
80-04,80,61771,46.55,53.45
80-05,80,58236,38.84,61.16
81-01,81,57126,54.54,45.46
81-02,81,72567,53.17,46.83
81-03,81,71516,51.77,48.23
82-01,82,63042,51.32,48.68
82-02,82,67231,44.85,55.15
83-01,83,46337,51.76,48.24
83-02,83,61493,44.97,55.03
83-03,83,72305,48.69,51.31
83-04,83,77095,42.88,57.12
83-05,83,70719,44.84,55.16
83-06,83,89109,41.16,58.84
83-07,83,70053,47.28,52.72
83-08,83,75746,41.33,58.67
84-01,84,44861,58.05,41.95
84-02,84,59717,48.47,51.53
84-03,84,54627,42.42,57.58
84-04,84,63181,44.08,55.92
84-05,84,57797,49.25,50.75
85-01,85,84878,63.46,36.54
85-02,85,79969,60.77,39.23
85-03,85,95399,59.73,40.27
85-04,85,75737,69.01,30.99
85-05,85,59283,55.3,44.7
86-01,86,54102,65.46,34.54
86-02,86,54059,69.56,30.44
86-03,86,50467,53.43,46.57
86-04,86,49534,50.79,49.21
87-01,87,54450,60.55,39.45
87-02,87,66131,57.89,42.11
87-03,87,54011,59.39,40.61
88-01,88,52151,51.86,48.14
88-02,88,50102,43.26,56.74
88-03,88,43982,51.68,48.32
88-04,88,46160,43.53,56.47
89-01,89,51538,53.25,46.75
89-02,89,50316,47.67,52.33
89-03,89,59354,44.83,55.17
90-01,90,31617,49.79,50.21
90-02,90,30572,53.13,46.87
91-01,91,40216,66.49,33.51
91-02,91,61559,53.63,46.37
91-03,91,65991,60.36,39.64
91-04,91,67426,65.14,34.86
91-05,91,48229,79.5,20.5
91-06,91,54704,73.08,26.92
91-07,91,45189,65.23,34.77
