# Presidentielle 2022, 1er tour, PARTS DE VOTE (% des exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 10/24 avril 2022 -
#   resultats definitifs 1er tour', ressource 'resultats-par-niveau-cirlg-t1-france-entiere.txt'.
#   URL: https://www.data.gouv.fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour
# DONNEES REELLES (pas de fabrication). Agregat national reconstitue = resultats officiels au centieme.
# Partis EXPLICITES (pas de bloc) : LFI=Melenchon, PS=Hidalgo, EELV=Jadot, PCF=Roussel, RN=Le Pen,
#   ENS=Macron, LR=Pecresse, REC=Zemmour, RES=Lassalle, DLF=Dupont-Aignan, NPA=Poutou, LO=Arthaud.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,ENS,RN,LFI,REC,LR,EELV,RES,PCF,DLF,PS,NPA,LO
38-09,38,76527,27.64,22.94,21.65,6.53,4.34,6.21,2.83,2.19,2.42,1.92,0.74,0.6
38-10,38,72612,24.02,28.72,21.19,7.38,4.15,4.59,2.74,1.87,2.55,1.6,0.65,0.54
39-01,39,49671,25.67,25.4,20.25,6.48,4.82,4.38,4.24,2.34,2.9,1.92,0.89,0.71
39-02,39,41820,24.77,23.96,20.58,6.92,5.29,4.78,5.04,1.91,3.37,1.71,0.98,0.68
39-03,39,53736,24.25,28.92,19.02,6.59,5.25,4.12,3.73,2.24,2.4,1.79,0.91,0.78
40-01,40,83343,26.38,24.33,17.39,6.85,3.86,3.21,8.6,2.83,2.01,3.25,0.8,0.5
40-02,40,95690,28.51,20.13,18.5,6.96,4.23,4.28,8.41,3.11,1.91,2.83,0.75,0.38
40-03,40,79017,25.55,24.18,15.64,5.63,3.96,2.35,11.51,3.59,1.79,4.63,0.75,0.42
41-01,41,60068,28.98,23.54,20.08,6.57,5.12,4.75,2.66,2.4,2.23,2.19,0.82,0.64
41-02,41,59252,26.82,31.31,14.42,8.01,5.22,3.02,3.28,2.54,2.47,1.45,0.79,0.66
41-03,41,61490,27.95,28.49,15.89,6.53,5.56,3.99,3.15,2.53,2.64,1.61,0.91,0.76
42-01,42,46671,26.07,20.37,28.66,7.32,4.08,4.47,2.0,2.37,1.62,1.81,0.71,0.52
42-02,42,35520,25.52,16.44,31.94,7.42,4.35,5.35,1.81,2.51,1.32,1.98,0.72,0.64
42-03,42,61957,26.65,26.16,19.95,7.92,4.52,4.39,2.65,2.21,2.48,1.87,0.67,0.54
42-04,42,78514,24.47,27.57,20.29,7.5,4.57,4.39,3.23,2.57,2.29,1.67,0.79,0.66
42-05,42,77418,28.61,27.04,16.51,7.16,4.89,3.68,3.87,2.59,2.59,1.77,0.69,0.6
42-06,42,85858,29.0,27.52,14.42,7.36,5.74,4.27,3.7,1.89,2.86,1.84,0.71,0.69
43-01,43,78658,23.19,28.94,16.65,7.04,6.67,4.41,4.85,2.35,2.49,1.77,0.91,0.73
43-02,43,60997,23.24,26.01,18.42,6.54,7.07,3.81,6.57,2.7,2.31,1.8,0.81,0.73
44-01,44,57757,34.42,9.39,25.92,6.63,6.14,9.23,1.63,1.82,1.35,2.46,0.67,0.33
44-02,44,68858,29.37,7.0,33.87,6.57,4.89,10.44,1.32,1.71,1.11,2.54,0.81,0.37
44-03,44,70491,29.9,13.78,29.91,4.73,3.42,8.61,1.75,2.51,1.38,2.58,0.88,0.55
44-04,44,70063,30.28,13.6,29.2,4.24,3.54,8.61,1.86,2.57,1.58,3.08,0.9,0.55
44-05,44,97442,34.47,15.33,22.03,5.0,4.66,8.55,2.27,2.12,1.81,2.43,0.82,0.52
44-06,44,86410,30.44,23.95,19.92,4.4,4.35,5.52,3.14,2.04,2.28,2.06,1.15,0.75
44-07,44,90037,33.24,20.61,16.62,7.11,6.76,5.28,2.62,2.36,2.2,1.64,0.96,0.61
44-08,44,64821,27.61,20.32,25.34,4.65,3.32,6.55,2.38,3.36,1.96,2.58,1.09,0.84
44-09,44,99578,31.81,22.17,19.16,5.4,4.62,5.88,2.73,2.42,2.36,1.82,0.94,0.68
44-10,44,96965,35.92,17.31,19.59,4.77,4.75,7.73,2.44,2.04,1.89,2.18,0.81,0.58
45-01,45,57120,33.83,17.51,20.79,6.77,5.8,5.69,2.27,2.15,1.94,2.11,0.65,0.49
45-02,45,62937,29.87,22.4,20.84,6.97,5.36,4.78,2.18,2.38,2.05,1.84,0.76,0.56
45-03,45,52704,27.7,29.73,15.79,6.73,5.31,3.51,3.18,2.46,2.58,1.64,0.76,0.63
45-04,45,53093,24.97,32.65,16.77,7.27,5.24,2.82,2.79,2.33,2.65,1.18,0.71,0.62
45-05,45,54054,26.66,30.65,17.51,6.48,5.41,3.3,2.7,2.08,2.46,1.33,0.76,0.66
45-06,45,55514,29.92,21.91,21.26,6.7,5.21,5.42,2.17,2.06,2.13,1.95,0.72,0.55
46-01,46,56838,24.57,20.26,23.4,6.07,5.45,4.39,6.44,3.26,2.26,2.43,0.92,0.54
46-02,46,52552,25.4,18.85,24.04,5.08,4.85,4.01,8.32,3.24,2.12,2.64,0.86,0.59
47-01,47,68038,24.28,25.74,18.61,8.58,4.11,3.75,7.22,2.76,1.88,1.79,0.76,0.51
47-02,47,58737,22.31,29.27,17.37,8.42,4.18,2.54,7.64,2.87,2.28,1.84,0.78,0.51
47-03,47,57327,22.57,27.19,19.51,8.48,4.28,2.86,7.34,2.45,2.25,1.85,0.8,0.43
48-01,48,46996,22.85,22.34,19.48,6.7,6.47,3.69,10.05,2.86,1.94,2.22,0.91,0.5
49-01,49,65099,34.85,15.81,21.91,5.72,5.18,7.36,2.01,1.86,1.73,2.24,0.78,0.56
49-02,49,70611,35.09,16.79,21.7,4.71,4.66,6.88,2.29,2.06,2.02,2.22,0.84,0.74
49-03,49,53427,29.84,29.4,15.68,5.21,4.81,4.38,2.77,2.1,2.35,1.72,0.96,0.78
49-04,49,57220,34.13,25.14,14.97,5.57,5.17,4.89,2.93,1.77,2.29,1.61,0.83,0.7
49-05,49,58728,40.16,18.41,16.3,4.52,4.87,5.7,2.49,1.79,2.25,2.09,0.72,0.69
49-06,49,74474,37.67,19.52,17.49,4.17,4.62,6.08,2.79,1.72,2.4,1.91,0.88,0.74
49-07,49,61783,36.39,19.16,18.6,4.73,4.93,6.43,2.29,2.0,1.92,2.08,0.81,0.66
50-01,50,65037,33.35,26.56,14.79,4.72,5.22,4.15,3.1,2.17,2.31,1.86,0.94,0.82
50-02,50,72428,35.25,23.12,15.14,4.95,6.0,4.17,3.21,2.13,2.78,1.64,0.88,0.72
50-03,50,83151,31.9,25.58,15.87,5.02,5.27,4.02,3.66,2.58,2.49,1.8,1.0,0.82
50-04,50,63842,29.59,22.69,20.62,4.96,4.1,4.41,3.19,3.55,2.03,3.06,1.0,0.8
51-01,51,52055,30.36,25.69,19.38,7.11,4.8,4.43,1.92,1.75,1.88,1.4,0.66,0.61
51-02,51,53207,31.7,25.15,17.82,7.37,5.27,4.28,2.06,1.83,1.78,1.47,0.68,0.59
51-03,51,57020,27.93,32.02,14.88,6.92,5.35,3.13,2.73,2.03,2.43,1.17,0.72,0.69
51-04,51,55179,28.04,30.55,15.86,7.05,5.04,3.37,2.69,2.28,2.36,1.38,0.74,0.65
51-05,51,56645,25.42,38.64,10.68,7.13,5.7,2.36,3.16,1.78,2.72,1.06,0.66,0.69
52-01,52,51309,25.03,32.4,15.11,6.53,5.78,3.32,3.9,1.88,2.93,1.55,0.83,0.74
52-02,52,42499,21.28,41.67,12.88,7.29,4.42,2.06,3.12,2.04,2.54,1.2,0.76,0.74
53-01,53,54407,35.43,20.99,17.64,5.22,5.14,5.0,2.52,2.03,2.08,2.36,0.79,0.79
53-02,53,58933,38.05,21.28,14.91,5.04,5.67,4.9,2.57,1.96,2.19,1.93,0.81,0.69
53-03,53,53568,35.57,25.04,13.48,4.16,5.79,4.34,3.33,1.97,2.68,1.95,0.86,0.82
54-01,54,59232,30.64,18.17,25.0,6.58,4.39,5.93,2.03,1.87,1.74,2.24,0.88,0.53
54-02,54,48730,33.63,15.02,24.94,6.74,5.26,5.7,1.83,1.86,1.64,2.21,0.69,0.47
54-03,54,54463,24.05,30.03,23.4,6.45,2.46,2.65,2.32,3.15,2.27,1.5,1.04,0.69
54-04,54,71161,25.0,34.01,16.3,6.48,4.16,3.45,2.91,2.14,2.31,1.52,0.92,0.8
54-05,54,58454,26.1,31.82,16.47,7.32,3.78,3.92,2.92,1.92,2.26,1.84,0.93,0.71
54-06,54,61760,23.6,32.38,20.99,6.36,2.77,3.42,2.61,2.57,2.0,1.58,0.96,0.76
55-01,55,55829,24.73,34.59,14.28,7.55,4.39,3.4,3.52,1.89,2.59,1.51,0.85,0.71
55-02,55,42684,25.15,35.8,13.09,7.34,4.57,2.88,3.6,2.12,2.29,1.49,0.96,0.72
56-01,56,88794,36.98,16.43,16.87,6.8,6.53,7.1,2.24,2.06,1.93,1.84,0.78,0.45
56-02,56,87469,32.34,20.86,18.74,5.93,5.05,6.23,3.04,2.54,2.08,1.63,0.94,0.63
56-03,56,74271,31.56,26.65,16.05,4.96,4.61,4.8,3.7,2.25,2.1,1.6,0.99,0.73
56-04,56,86504,32.34,25.25,17.19,5.31,4.09,4.56,3.45,2.14,2.36,1.65,0.97,0.7
56-05,56,58966,32.23,18.14,21.84,5.93,4.44,6.91,2.24,3.1,1.63,2.16,0.81,0.57
56-06,56,71370,29.69,24.79,18.45,5.05,4.26,5.19,3.78,2.99,2.09,1.85,1.15,0.73
57-01,57,64583,26.96,26.89,22.6,7.22,3.57,4.22,2.0,1.98,1.76,1.4,0.83,0.58
57-02,57,53932,31.01,24.15,19.2,7.68,4.43,4.54,2.36,1.67,1.98,1.62,0.77,0.57
57-03,57,53147,30.54,22.8,20.74,7.48,4.1,5.09,2.41,1.8,2.1,1.54,0.81,0.59
57-04,57,60164,23.63,36.56,12.81,7.68,4.75,3.17,3.7,1.38,3.33,1.35,0.83,0.8
57-05,57,51511,24.33,35.96,13.14,8.12,3.88,2.86,3.96,1.2,3.41,1.47,0.83,0.83
57-06,57,45015,20.63,36.05,22.77,7.53,2.98,2.05,2.23,1.2,2.05,1.08,0.74,0.69
57-07,57,64070,21.97,36.31,18.03,7.97,3.21,2.8,2.97,1.48,2.48,1.29,0.79,0.71
57-08,57,60211,21.96,31.44,25.58,6.36,2.3,2.8,2.03,2.26,2.07,1.57,0.96,0.67
57-09,57,71686,31.61,24.84,17.44,7.61,3.89,4.56,2.68,1.83,2.52,1.55,0.87,0.6
58-01,58,53240,26.16,28.23,18.8,6.36,4.42,3.58,3.05,3.96,1.99,1.93,0.86,0.65
58-02,58,59201,24.93,30.08,16.76,6.74,4.76,2.78,4.19,3.67,2.42,1.91,0.93,0.82
59-01,59,44244,24.54,13.07,41.78,4.39,2.52,6.18,1.19,2.16,1.01,1.99,0.68,0.47
59-02,59,60671,26.12,15.97,36.48,4.44,2.63,5.69,1.31,2.76,1.24,2.05,0.71,0.61
59-03,59,61951,20.66,39.03,20.63,6.01,2.85,1.82,2.01,2.81,1.77,1.09,0.61,0.71
59-04,59,73163,36.25,18.07,20.51,6.19,4.59,6.36,1.58,2.31,1.49,1.6,0.61,0.43
59-05,59,75028,29.78,28.45,18.33,5.83,3.43,4.74,1.73,3.15,1.69,1.63,0.66,0.59
59-06,59,71894,35.2,23.87,15.35,6.31,4.6,5.12,2.06,2.91,1.88,1.67,0.56,0.48
59-07,59,51307,31.59,19.92,25.9,6.02,4.14,4.72,1.64,2.12,1.7,1.26,0.58,0.42
59-08,59,41887,20.97,22.89,41.15,4.27,1.77,2.49,1.21,1.61,1.21,1.1,0.65,0.68
59-09,59,64701,36.58,13.72,23.53,6.84,6.3,5.98,1.36,2.03,1.47,1.32,0.54,0.34
59-10,59,53700,28.92,26.2,24.74,5.96,3.04,3.56,1.53,2.12,1.61,1.22,0.6,0.5
59-11,59,65072,28.43,22.08,26.42,5.56,3.18,4.97,1.57,2.92,1.41,2.15,0.68,0.63
59-12,59,66331,21.65,39.56,15.91,6.03,3.31,2.19,2.12,4.81,2.01,1.08,0.67,0.66
59-13,59,58456,22.6,33.45,24.55,4.9,2.23,2.62,1.92,2.81,1.57,1.57,0.87,0.92
59-14,59,72869,27.34,34.96,14.46,6.12,4.06,2.72,2.51,2.54,2.08,1.57,0.85,0.82
59-15,59,72305,28.42,32.93,15.2,5.68,4.05,3.35,2.54,2.58,2.13,1.56,0.8,0.75
59-16,59,58586,18.7,40.24,20.56,5.12,1.84,2.23,1.53,5.81,1.47,1.2,0.69,0.62
59-17,59,51739,22.26,35.55,21.58,5.85,2.87,2.85,1.65,3.39,1.57,1.32,0.56,0.56
59-18,59,63773,23.39,40.24,14.17,6.49,3.73,2.18,2.24,2.95,1.97,1.29,0.64,0.71
59-19,59,55822,17.75,42.42,19.29,5.05,1.82,1.74,1.47,6.76,1.34,1.12,0.57,0.66
59-20,59,55197,19.27,36.94,17.4,5.53,1.92,2.17,1.41,12.41,1.23,0.8,0.45,0.47
59-21,59,56085,24.61,31.84,20.19,6.73,3.07,2.76,1.62,5.46,1.51,1.12,0.55,0.54
60-01,60,60526,23.87,37.36,16.54,5.92,3.83,2.92,2.41,2.22,2.23,1.0,0.89,0.82
60-02,60,65144,23.58,37.52,15.73,6.94,4.09,2.88,2.42,1.92,2.48,0.95,0.76,0.73
60-03,60,52295,20.92,29.42,28.62,6.3,3.15,2.64,1.95,2.49,2.13,1.01,0.74,0.63
60-04,60,68776,29.08,26.09,16.11,10.11,5.97,4.4,2.21,1.76,2.24,0.94,0.62,0.47
60-05,60,53365,24.73,30.9,19.62,7.54,4.16,3.99,2.31,1.96,2.34,1.05,0.72,0.69
60-06,60,55942,25.27,32.6,17.02,7.47,4.54,3.45,2.25,2.42,2.39,1.1,0.73,0.77
60-07,60,55666,21.49,31.91,23.63,6.78,3.51,3.0,2.0,2.79,2.14,1.23,0.74,0.77
61-01,61,50042,32.85,25.15,15.63,5.82,5.53,4.06,3.03,2.09,2.44,1.73,0.89,0.8
61-02,61,48813,28.09,30.97,14.03,6.62,6.49,3.27,3.32,1.97,2.65,1.15,0.77,0.68
61-03,61,52095,30.43,27.07,15.98,5.31,5.58,3.63,3.38,2.41,2.52,1.81,0.98,0.91
62-01,62,80061,25.51,39.67,12.0,5.98,4.31,2.22,2.71,2.74,2.06,1.35,0.62,0.83
62-02,62,64660,30.47,27.39,18.1,5.55,3.98,4.31,2.22,3.01,1.85,1.82,0.63,0.67
62-03,62,56643,17.79,43.6,20.26,4.18,1.47,1.72,1.38,5.81,1.12,1.33,0.65,0.68
62-04,62,67104,33.35,31.45,11.87,6.04,5.39,2.17,2.71,2.36,1.89,1.3,0.72,0.74
62-05,62,63425,28.59,33.41,16.97,5.11,3.0,2.98,2.02,3.02,1.6,1.78,0.84,0.67
62-06,62,71851,25.69,37.79,13.75,5.48,4.2,2.32,2.79,2.5,2.21,1.67,0.73,0.86
62-07,62,64599,23.07,38.3,17.07,5.94,3.31,2.49,2.28,2.8,1.98,1.3,0.73,0.71
62-08,62,66943,25.52,37.64,15.51,4.77,3.33,2.45,2.27,3.33,1.97,1.66,0.7,0.86
62-09,62,58669,27.02,36.0,14.36,5.55,3.33,2.99,2.12,4.08,1.95,1.36,0.64,0.62
62-10,62,62905,20.06,47.77,14.56,4.15,1.98,1.86,1.79,3.44,1.62,1.3,0.7,0.78
62-11,62,65767,17.53,45.15,20.66,4.23,1.65,1.94,1.5,3.56,1.29,1.09,0.71,0.69
62-12,62,68026,19.78,46.16,15.81,4.59,1.85,1.9,1.7,3.65,1.5,1.64,0.65,0.77
63-01,63,61032,28.27,18.31,26.9,5.74,4.11,5.15,2.82,3.13,1.58,2.44,0.89,0.67
63-02,63,69588,26.46,24.49,18.52,5.63,5.07,4.25,5.55,3.68,2.11,2.48,0.95,0.81
63-03,63,69422,31.99,16.2,20.33,6.21,6.35,6.29,4.54,2.76,1.7,2.3,0.78,0.55
63-04,63,78177,28.06,22.25,20.84,5.62,4.37,4.83,4.29,3.66,2.04,2.36,0.93,0.74
63-05,63,79368,25.61,26.87,18.67,5.67,4.39,3.51,5.11,4.37,2.15,1.96,0.89,0.8
64-01,64,52954,29.77,17.46,20.77,6.62,4.05,5.44,8.07,2.44,1.79,2.53,0.69,0.37
64-02,64,65571,29.33,18.79,18.27,6.43,4.06,4.87,10.68,2.22,1.83,2.52,0.65,0.35
64-03,64,65217,25.23,20.7,19.31,5.45,3.27,3.63,14.33,2.6,1.76,2.6,0.74,0.39
64-04,64,62708,22.49,16.16,17.96,4.96,4.15,4.06,20.77,3.1,1.52,2.32,1.94,0.57
64-05,64,75242,28.85,16.76,20.13,7.39,4.24,5.9,8.68,2.65,1.6,2.22,1.18,0.4
64-06,64,79798,30.5,14.98,17.61,7.43,5.56,5.69,10.12,2.25,1.6,1.82,2.0,0.43
65-01,65,66551,24.22,21.54,21.08,6.03,3.19,3.62,10.99,3.57,1.77,2.73,0.78,0.49
65-02,65,68337,25.72,22.84,18.17,6.88,3.57,3.61,10.9,3.16,1.8,2.19,0.71,0.45
66-01,66,52503,21.68,30.15,21.56,9.56,3.3,3.44,3.3,2.26,1.86,1.84,0.61,0.44
66-02,66,77144,19.81,37.13,16.65,9.81,3.35,2.56,3.98,2.19,1.89,1.53,0.63,0.46
66-03,66,62294,19.98,30.15,21.48,8.36,3.18,3.56,5.24,2.58,1.84,2.18,0.88,0.56
66-04,66,76627,20.95,32.2,18.28,9.12,3.28,3.38,4.73,2.65,2.12,1.97,0.83,0.49
67-01,67,45491,30.87,8.86,36.84,6.52,3.88,6.24,1.41,1.18,1.25,1.88,0.72,0.34
67-02,67,51733,29.69,14.46,32.29,5.72,3.31,6.5,1.82,1.38,1.7,1.9,0.71,0.51
67-03,67,50648,30.68,16.19,29.23,6.32,3.9,5.6,1.77,1.4,2.04,1.68,0.73,0.46
67-04,67,74057,35.19,22.34,16.45,7.62,4.82,5.05,2.25,1.13,2.68,1.43,0.59,0.43
67-05,67,79159,30.25,29.19,13.92,6.81,4.03,5.01,3.18,1.23,3.46,1.33,0.8,0.79
67-06,67,72943,30.18,28.64,13.93,7.2,4.37,5.05,3.26,1.25,3.35,1.31,0.77,0.7
67-07,67,63442,27.68,32.57,11.87,7.23,4.93,4.44,3.1,1.28,3.86,1.38,0.78,0.87
67-08,67,69268,28.98,35.13,9.91,7.32,4.35,3.68,2.78,1.03,4.04,1.23,0.72,0.83
67-09,67,69978,32.1,29.48,12.91,7.69,4.67,3.98,2.45,1.16,3.02,1.23,0.67,0.64
68-01,68,55825,28.54,27.25,17.04,7.41,4.7,5.21,2.76,1.16,3.21,1.35,0.76,0.61
68-02,68,68947,29.85,27.24,14.66,6.86,4.4,5.65,3.4,1.31,3.92,1.25,0.79,0.67
68-03,68,63490,29.36,27.76,13.45,8.93,4.66,4.74,3.29,0.96,4.5,1.12,0.66,0.56
68-04,68,76835,24.65,33.33,14.75,8.11,3.7,4.52,3.05,1.35,3.7,1.35,0.85,0.65
68-05,68,53307,29.78,20.8,23.24,7.93,4.19,5.52,2.17,1.21,2.67,1.35,0.63,0.52
68-06,68,66705,25.9,27.91,21.52,7.93,3.45,4.09,2.38,1.21,3.19,1.2,0.7,0.5
69-01,69,56303,30.88,10.76,31.54,7.08,4.89,7.11,1.64,1.73,1.46,1.93,0.61,0.36
69-02,69,58937,30.8,7.23,34.03,7.74,5.33,8.02,1.37,1.5,0.97,2.01,0.66,0.34
69-03,69,57237,28.94,9.03,35.35,6.46,4.48,8.17,1.33,1.77,1.13,2.25,0.68,0.41
69-04,69,63751,36.22,9.03,24.03,9.12,7.38,7.38,1.45,1.52,1.17,1.94,0.45,0.3
69-05,69,70666,37.36,14.7,17.28,9.74,7.46,5.98,1.76,1.44,1.81,1.6,0.55,0.31
69-06,69,62836,25.83,11.75,37.88,6.97,3.18,6.33,1.52,1.91,1.32,2.16,0.73,0.42
69-07,69,48021,24.53,15.46,37.54,6.81,3.93,4.12,1.5,1.82,1.5,1.73,0.57,0.49
69-08,69,82629,31.82,21.71,16.57,8.99,6.69,4.97,2.79,1.6,2.43,1.46,0.53,0.44
69-09,69,73745,29.77,24.17,17.4,8.95,5.73,4.67,2.7,1.71,2.4,1.48,0.56,0.45
69-10,69,79116,34.21,19.59,16.08,8.26,6.71,5.72,2.36,1.56,2.85,1.75,0.52,0.4
69-11,69,74696,28.9,23.84,19.82,8.17,5.03,4.93,2.39,2.08,2.23,1.57,0.56,0.48
69-12,69,64183,34.52,14.79,20.5,9.01,7.15,5.61,1.87,1.99,1.83,1.77,0.54,0.43
69-13,69,66145,28.78,23.65,21.21,9.24,4.83,4.33,1.88,1.66,1.87,1.55,0.57,0.43
69-14,69,50748,20.77,19.35,40.17,5.95,2.62,2.73,1.65,2.48,1.53,1.51,0.66,0.58
70-01,70,67427,23.74,33.49,15.32,7.13,5.34,3.37,3.55,2.0,2.63,1.63,0.96,0.84
70-02,70,67312,21.09,35.71,15.98,7.23,4.68,3.0,3.6,2.21,2.78,1.85,0.97,0.9
71-01,71,55655,30.75,22.35,19.04,6.97,5.08,5.04,2.86,2.23,2.51,1.9,0.72,0.54
71-02,71,57910,28.12,27.49,15.55,6.84,5.98,2.79,4.17,2.62,3.18,1.86,0.75,0.66
71-03,71,60355,27.21,28.2,16.38,7.51,5.01,3.5,3.57,2.41,2.36,2.37,0.82,0.65
71-04,71,61783,25.15,31.88,16.31,6.69,4.8,3.09,3.48,2.38,2.75,1.86,0.85,0.75
71-05,71,63597,27.17,26.56,20.08,6.58,4.6,3.6,2.95,2.73,2.17,2.07,0.81,0.69
72-01,72,53851,30.54,23.6,18.45,6.13,5.93,5.47,2.46,2.07,2.1,1.85,0.74,0.66
72-02,72,58330,27.41,26.57,21.66,4.92,4.47,4.59,2.21,2.63,1.9,2.0,0.86,0.78
72-03,72,62858,26.32,31.94,16.38,5.59,5.1,3.68,2.83,2.31,2.46,1.72,0.91,0.78
72-04,72,58781,27.8,28.02,18.12,5.17,5.35,4.86,2.55,2.45,2.15,1.91,0.92,0.71
72-05,72,63242,29.34,27.65,16.96,5.53,6.0,4.35,2.61,2.17,2.29,1.65,0.78,0.68
73-01,73,71875,28.47,22.85,18.0,8.11,5.5,6.4,3.21,1.83,2.77,1.73,0.65,0.49
73-02,73,57256,25.58,24.47,18.54,7.18,6.2,5.91,3.8,2.38,3.13,1.47,0.89,0.47
73-03,73,57605,24.85,26.24,18.54,7.19,5.75,5.59,3.38,2.59,2.72,1.9,0.74,0.51
73-04,73,59622,25.61,18.76,26.21,6.65,4.68,7.44,2.77,2.3,2.25,2.08,0.76,0.49
74-01,74,84401,33.39,19.26,16.44,7.36,5.83,7.9,2.7,1.36,3.12,1.64,0.63,0.38
74-02,74,76740,31.85,17.79,19.03,7.52,5.6,7.91,3.02,1.53,2.83,1.8,0.73,0.4
74-03,74,67470,27.19,23.81,18.32,7.98,4.64,6.59,3.52,1.45,3.68,1.53,0.88,0.42
74-04,74,63604,29.63,19.52,21.45,8.18,4.75,6.36,2.83,1.2,3.44,1.42,0.78,0.44
74-05,74,75251,30.22,21.42,17.37,8.0,4.88,6.45,3.37,1.52,3.9,1.49,0.85,0.53
74-06,74,59673,29.95,22.18,17.61,7.99,5.56,6.48,3.47,1.33,2.95,1.32,0.69,0.48
75-01,75,77053,41.27,6.82,23.08,9.12,7.21,6.86,1.22,1.13,0.78,1.75,0.5,0.24
75-02,75,59727,43.41,4.66,19.13,10.33,9.54,7.05,1.24,1.37,0.87,1.81,0.39,0.19
75-03,75,54947,37.0,5.37,30.16,6.51,6.03,8.39,1.17,1.52,0.91,2.16,0.5,0.27
75-04,75,58273,45.91,5.49,11.75,16.81,11.98,4.24,1.06,0.64,0.87,0.95,0.21,0.09
75-05,75,61202,34.81,4.11,34.89,5.43,3.91,10.1,0.94,1.74,0.64,2.62,0.56,0.26
75-06,75,62012,27.32,4.54,43.42,4.67,3.18,9.28,0.98,2.04,0.79,2.71,0.71,0.35
75-07,75,62821,36.43,4.36,31.29,6.01,4.63,9.86,1.03,1.9,0.78,2.86,0.63,0.23
75-08,75,63271,31.85,6.44,32.56,7.26,5.79,8.15,1.26,1.99,1.06,2.67,0.66,0.31
75-09,75,53653,29.84,6.86,36.35,6.36,4.7,7.12,1.41,2.33,1.21,2.65,0.73,0.43
75-10,75,53100,30.69,6.76,34.93,6.34,5.37,7.54,1.34,2.1,1.12,2.73,0.69,0.39
75-11,75,57972,39.14,4.71,25.42,7.53,7.29,8.8,1.25,1.84,0.89,2.37,0.5,0.26
75-12,75,60518,42.7,5.64,17.34,11.01,10.95,6.7,1.28,1.18,1.08,1.67,0.29,0.17
75-13,75,60235,38.61,6.87,22.59,8.96,9.03,7.11,1.43,1.48,1.19,2.06,0.41,0.26
75-14,75,59602,46.66,5.87,9.49,16.35,14.16,3.79,1.06,0.62,0.87,0.83,0.21,0.1
75-15,75,59162,24.39,5.79,45.73,5.28,3.24,7.66,1.1,2.29,0.94,2.44,0.78,0.38
75-16,75,53983,24.15,5.27,46.18,6.7,3.14,7.41,0.95,1.98,0.81,2.3,0.71,0.41
75-17,75,43435,21.37,5.41,51.11,5.69,2.84,6.72,0.91,1.74,0.8,2.2,0.81,0.39
75-18,75,54096,33.41,4.5,36.0,5.11,3.94,10.02,1.02,1.86,0.79,2.46,0.62,0.27
76-01,76,47893,32.09,12.39,29.37,6.2,4.85,6.82,1.54,2.09,1.21,2.32,0.76,0.34
76-02,76,73552,34.15,23.5,16.84,6.17,5.28,4.96,2.04,2.2,2.06,1.61,0.68,0.51
76-03,76,48176,23.1,21.09,34.0,4.16,2.05,4.22,1.5,4.44,1.39,2.29,1.0,0.75
76-04,76,60991,24.27,28.32,26.1,4.94,2.27,3.03,1.89,3.35,1.73,2.34,0.99,0.76
76-05,76,71173,27.24,31.44,18.76,4.89,3.52,3.47,2.27,2.73,2.14,1.81,0.92,0.82
76-06,76,81323,26.46,35.45,15.55,5.24,4.11,2.54,2.41,3.32,2.12,1.25,0.75,0.79
76-07,76,61414,32.53,20.89,22.56,5.59,3.69,4.74,1.96,3.32,1.74,1.62,0.79,0.56
76-08,76,42653,21.99,25.24,31.83,4.25,2.31,3.2,1.7,5.15,1.52,1.32,0.89,0.59
76-09,76,71631,26.75,33.26,16.67,4.74,3.83,3.34,2.74,3.09,2.3,1.5,0.95,0.83
76-10,76,84159,28.33,33.9,14.27,5.28,4.59,3.31,2.38,2.38,2.3,1.64,0.85,0.77
77-01,77,50561,26.29,20.94,26.63,7.91,5.4,4.29,2.03,1.83,2.22,1.29,0.67,0.51
77-02,77,60124,26.7,22.51,20.41,8.97,7.12,5.09,2.52,1.86,2.49,1.15,0.69,0.49
77-03,77,56952,22.14,27.17,24.58,7.04,5.42,4.22,2.2,2.11,2.52,1.23,0.75,0.61
77-04,77,65890,20.87,33.52,18.09,7.89,7.6,2.94,2.3,1.92,2.58,0.89,0.78,0.62
77-05,77,64159,25.75,27.35,20.84,7.65,5.66,3.82,2.23,1.79,2.55,1.13,0.72,0.51
77-06,77,58843,21.35,27.86,26.72,6.95,5.55,3.28,2.11,1.8,2.11,0.96,0.77,0.54
77-07,77,65280,23.87,23.9,27.95,7.5,4.77,3.6,1.95,2.4,1.88,1.1,0.64,0.44
77-08,77,70524,29.98,17.46,27.3,6.96,5.4,4.69,1.92,1.87,2.11,1.23,0.61,0.47
77-09,77,62891,26.89,22.9,23.92,7.51,5.22,4.52,2.18,1.97,2.6,1.12,0.68,0.48
77-10,77,58379,26.84,15.11,35.4,5.64,4.75,4.28,1.69,1.93,1.71,1.49,0.68,0.49
77-11,77,47326,23.47,18.98,35.95,5.22,3.91,3.76,1.73,1.83,2.24,1.64,0.68,0.59
