# Presidentielle 2022, 1er tour, PARTS DE VOTE (% des exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 10/24 avril 2022 -
#   resultats definitifs 1er tour', ressource 'resultats-par-niveau-cirlg-t1-france-entiere.txt'.
#   URL: https://www.data.gouv.fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour
# DONNEES REELLES (pas de fabrication). Agregat national reconstitue = resultats officiels au centieme.
# Partis EXPLICITES (pas de bloc) : LFI=Melenchon, PS=Hidalgo, EELV=Jadot, PCF=Roussel, RN=Le Pen,
#   ENS=Macron, LR=Pecresse, REC=Zemmour, RES=Lassalle, DLF=Dupont-Aignan, NPA=Poutou, LO=Arthaud.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,ENS,RN,LFI,REC,LR,EELV,RES,PCF,DLF,PS,NPA,LO
13-05,13,50543,23.55,16.52,32.76,10.05,2.97,6.06,1.74,2.28,1.51,1.43,0.8,0.32
13-06,13,53096,24.66,24.47,22.44,13.51,3.4,3.88,1.89,2.04,1.73,1.16,0.51,0.33
13-07,13,38896,14.06,20.38,52.18,5.88,0.94,1.34,1.06,1.72,0.97,0.69,0.47,0.3
13-08,13,75879,23.31,29.68,18.83,10.38,4.28,4.12,2.9,1.9,2.41,1.2,0.61,0.38
13-09,13,72814,23.03,28.58,19.42,11.57,3.99,4.24,2.51,2.42,2.26,1.03,0.56,0.37
13-10,13,82774,23.12,30.86,16.33,11.75,3.69,4.51,2.76,2.54,2.37,1.19,0.55,0.32
13-11,13,68080,27.69,23.18,19.59,10.7,4.68,5.4,2.28,2.22,2.23,1.27,0.49,0.28
13-12,13,68477,19.33,35.29,18.14,11.4,3.07,3.08,2.36,3.15,2.24,1.06,0.52,0.37
13-13,13,67418,16.7,32.5,24.75,8.84,2.36,2.6,2.85,5.05,1.99,1.08,0.76,0.51
13-14,13,74328,28.86,19.81,21.19,10.08,4.95,6.13,2.49,1.95,2.13,1.48,0.62,0.32
13-15,13,83333,23.07,30.68,16.03,10.76,4.64,4.24,3.69,2.01,2.62,1.2,0.67,0.4
13-16,13,67093,18.79,31.25,23.91,9.56,3.1,3.02,3.34,2.61,2.06,1.25,0.66,0.44
14-01,14,55255,33.25,14.85,24.98,5.45,4.77,7.43,1.86,2.1,1.49,2.28,1.01,0.53
