,port_ret
2021-07-15,0.010203884768615445
2021-07-16,0.004785085846362058
2021-07-19,-0.0018092213348754882
2021-07-20,0.012204736606538091
2021-07-21,-0.002068527069801984
2021-07-22,0.010062096777075924
2021-07-23,0.022745818952978926
2021-07-26,0.01497182863049037
2021-07-27,-0.007479593104633901
2021-07-28,0.004401823074909346
2021-07-29,0.01726848602730003
2021-07-30,0.0025875822638493223
2021-08-02,-0.005473380015083148
2021-08-03,0.014511531135624037
2021-08-04,-0.0009335037465496472
2021-08-05,0.017831131424418778
2021-08-06,0.0002991069057411424
2021-08-09,0.0027432857928378802
2021-08-10,-0.0061645271850349626
2021-08-11,0.00461475696130087
2021-08-12,-0.008234761972904361
2021-08-13,0.002398796747301957
2021-08-16,-0.010880537132742864
2021-08-17,-0.005490176635764041
2021-08-18,-0.008829712738735566
2021-08-19,0.003867377215543971
2021-08-20,0.019209751583385896
2021-08-23,0.02498893977744082
2021-08-24,0.0172999100706348
2021-08-25,0.012879143007339621
2021-08-26,-0.011381671425481238
2021-08-27,0.02129213100005309
2021-08-30,0.011578381328792006
2021-08-31,-0.01655686906942629
2021-09-01,0.003803091678681795
2021-09-02,0.01235483420305103
2021-09-03,0.0043755441919458
2021-09-07,-0.01813666937455426
2021-09-08,-0.01604683528202534
2021-09-09,0.0076936380883826025
2021-09-10,0.002871224473106367
2021-09-13,-0.006006618515613453
2021-09-14,-0.005559174204597447
2021-09-15,0.01604852773555303
2021-09-16,0.004493075656847963
2021-09-17,-0.02008060098965403
2021-09-20,-0.04156264583485437
2021-09-21,0.0067759273315998216
2021-09-22,0.019478762331223178
2021-09-23,0.02854542769980809
2021-09-24,0.004086577917154548
2021-09-27,-0.011107836134684034
2021-09-28,-0.06485712073481043
2021-09-29,-0.004249455776009969
2021-09-30,-0.004604570684757536
2021-10-01,0.015979980382468225
2021-10-04,-0.04515177542133067
2021-10-05,0.027720531609110297
2021-10-06,0.014371522571919561
2021-10-07,0.026533825140116863
2021-10-08,-0.01119937715797156
2021-10-11,-0.01592976021510689
2021-10-12,0.002391712131873625
2021-10-13,0.026231064041424654
2021-10-14,0.04045792327926217
2021-10-15,0.006336020833581424
2021-10-18,0.01591624689359439
2021-10-19,0.01797084622797187
